"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-04-03,141,147,144,160,128,153
2020-04-04,161,167,164,183,145,166
2020-04-05,183,190,186,207,165,194
2020-04-06,209,215,212,236,188,209
2020-04-07,238,243,240,267,213,227
2020-04-08,271,273,272,303,241,273
2020-04-09,308,305,306,341,271,300
2020-04-10,351,339,345,384,306,349
2020-04-11,400,375,388,432,344,NA
2020-04-12,455,412,434,483,385,NA
2020-04-13,519,451,485,540,430,NA
2020-04-14,591,490,540,601,479,NA
2020-04-15,673,530,602,671,533,NA
2020-04-16,766,569,668,744,592,NA
2020-04-17,872,608,740,824,656,NA
