"dia_ano","dias","otimista","casos_estimados","pessimista","x"
195,2020-07-13,985,1007,1029,1012
196,2020-07-14,1008,1030,1052,1033
197,2020-07-15,1030,1053,1076,1054
198,2020-07-16,1053,1076,1099,1071
199,2020-07-17,1074,1098,1122,1088
200,2020-07-18,1095,1119,1143,1111
201,2020-07-19,1115,1140,1165,1125
202,2020-07-20,1136,1161,1186,1156
203,2020-07-21,1155,1180,1205,1182
204,2020-07-22,1173,1199,1225,1211
205,2020-07-23,1191,1217,1243,1247
206,2020-07-24,1208,1235,1262,NA
207,2020-07-25,1225,1252,1279,NA
208,2020-07-26,1242,1269,1296,NA
209,2020-07-27,1256,1284,1312,NA
210,2020-07-28,1271,1299,1327,NA
211,2020-07-29,1286,1314,1342,NA
212,2020-07-30,1298,1327,1356,NA
213,2020-07-31,1312,1341,1370,NA
214,2020-08-01,1324,1353,1382,NA
215,2020-08-02,1336,1365,1394,NA
