"dia_ano","dias","otimista","casos_estimados","pessimista","x"
140,2020-05-19,1464,1543,1622,1519
141,2020-05-20,1583,1669,1755,1633
142,2020-05-21,1705,1798,1891,1852
143,2020-05-22,1829,1928,2027,1937
144,2020-05-23,1953,2059,2165,2001
145,2020-05-24,2076,2189,2302,2148
146,2020-05-25,2198,2317,2436,2372
147,2020-05-26,2316,2442,2568,2469
148,2020-05-27,2432,2564,2696,NA
149,2020-05-28,2543,2681,2819,NA
150,2020-05-29,2649,2793,2937,NA
151,2020-05-30,2750,2899,3048,NA
152,2020-05-31,2845,2999,3153,NA
153,2020-06-01,2933,3092,3251,NA
154,2020-06-02,3015,3179,3343,NA
