"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-05-06,2713,2764,2738,2963,2513,2917
2020-05-07,2878,2921,2900,3139,2661,3082
2020-05-08,3053,3083,3068,3320,2816,3205
2020-05-09,3238,3252,3245,3512,2978,3372
2020-05-10,3434,3426,3430,3712,3148,3429
2020-05-11,3642,3606,3624,3922,3326,3529
2020-05-12,3863,3792,3828,4143,3513,3733
2020-05-13,4097,3983,4040,4372,3708,3828
2020-05-14,4346,4179,4262,4613,3911,NA
2020-05-15,4610,4380,4495,4865,4125,NA
2020-05-16,4889,4585,4737,5127,4347,NA
2020-05-17,5186,4794,4990,5401,4579,NA
2020-05-18,5500,5007,5254,5686,4822,NA
2020-05-19,5834,5223,5528,5983,5073,NA
2020-05-20,6188,5442,5815,6293,5337,NA
