"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
104,2020-04-13,404,464,524,430
105,2020-04-14,465,534,603,463
106,2020-04-15,534,614,694,557
107,2020-04-16,614,706,798,754
108,2020-04-17,707,813,919,856
109,2020-04-18,813,935,1057,952
110,2020-04-19,935,1075,1215,1099
111,2020-04-20,1076,1237,1398,1212
112,2020-04-21,1238,1423,1608,NA
113,2020-04-22,1424,1637,1850,NA
114,2020-04-23,1638,1883,2128,NA
115,2020-04-24,1884,2166,2448,NA
116,2020-04-25,2167,2491,2815,NA
117,2020-04-26,2493,2866,3239,NA
118,2020-04-27,2868,3297,3726,NA
