"dia_ano","dias","otimista","casos_estimados","pessimista","x"
188,2020-07-06,778,826,874,820
189,2020-07-07,810,860,910,851
190,2020-07-08,843,895,947,895
191,2020-07-09,877,931,985,931
192,2020-07-10,913,969,1025,978
193,2020-07-11,950,1009,1068,1016
194,2020-07-12,989,1050,1111,1045
195,2020-07-13,1029,1093,1157,1089
196,2020-07-14,1071,1137,1203,1146
197,2020-07-15,1115,1184,1253,1200
198,2020-07-16,1160,1232,1304,1246
199,2020-07-17,1207,1282,1357,NA
200,2020-07-18,1257,1335,1413,NA
201,2020-07-19,1308,1389,1470,NA
202,2020-07-20,1362,1446,1530,NA
203,2020-07-21,1417,1505,1593,NA
204,2020-07-22,1475,1566,1657,NA
205,2020-07-23,1535,1630,1725,NA
206,2020-07-24,1598,1697,1796,NA
207,2020-07-25,1663,1766,1869,NA
208,2020-07-26,1731,1838,1945,NA
