"dia_ano","dias","otimista","casos_estimados","pessimista","x"
190,2020-07-08,186,237,288,233
191,2020-07-09,193,245,297,240
192,2020-07-10,198,252,306,245
193,2020-07-11,204,260,316,251
194,2020-07-12,211,269,327,255
195,2020-07-13,218,277,336,259
196,2020-07-14,225,286,347,267
197,2020-07-15,232,295,358,271
198,2020-07-16,239,304,369,278
199,2020-07-17,247,314,381,283
200,2020-07-18,255,324,393,288
201,2020-07-19,263,334,405,NA
202,2020-07-20,271,345,419,NA
203,2020-07-21,280,356,432,NA
204,2020-07-22,288,367,446,NA
205,2020-07-23,297,378,459,NA
206,2020-07-24,307,390,473,NA
207,2020-07-25,317,403,489,NA
208,2020-07-26,327,416,505,NA
209,2020-07-27,337,429,521,NA
210,2020-07-28,347,442,537,NA
