"data","boletim","NA","Casoconfirmado","Casodescartado","Casosuspeito","Total"
"26/03/2020","28","Afonso Cl<U+00E1>udio","0","1","0","1"
"26/03/2020","28","<U+00C1>gua Doce do Norte","0","1","2","3"
"26/03/2020","28","Alegre","0","2","1","3"
"26/03/2020","28","Alfredo Chaves","0","1","3","4"
"26/03/2020","28","Anchieta","0","1","5","6"
"26/03/2020","28","Apiac<U+00E1>","0","0","19","19"
"26/03/2020","28","Aracruz","0","5","4","9"
"26/03/2020","28","At<U+00ED>lio Viv<U+00E1>cqua","0","1","2","3"
"26/03/2020","28","Barra de S<U+00E3>o Francisco","0","2","6","8"
"26/03/2020","28","Boa Esperan<U+00E7>a","0","1","0","1"
"26/03/2020","28","Bom Jesus do Norte","0","0","10","10"
"26/03/2020","28","Cachoeiro de Itapemirim","1","9","24","34"
"26/03/2020","28","Cariacica","1","32","90","123"
"26/03/2020","28","Castelo","1","0","6","7"
"26/03/2020","28","Colatina","0","8","15","23"
"26/03/2020","28","Divino de S<U+00E3>o Louren<U+00E7>o","0","0","1","1"
"26/03/2020","28","Domingos Martins","0","1","8","9"
"26/03/2020","28","Dores do Rio Preto","0","0","1","1"
"26/03/2020","28","Ecoporanga","0","0","1","1"
"26/03/2020","28","Fund<U+00E3>o","0","0","11","11"
"26/03/2020","28","Governador Lindenberg","0","0","1","1"
"26/03/2020","28","Gua<U+00E7>u<U+00ED>","0","1","2","3"
"26/03/2020","28","Guarapari","0","11","8","19"
"26/03/2020","28","Ibira<U+00E7>u","0","0","1","1"
"26/03/2020","28","Iconha","0","0","5","5"
"26/03/2020","28","Itagua<U+00E7>u","0","0","1","1"
"26/03/2020","28","Itapemirim","0","1","2","3"
"26/03/2020","28","Itarana","0","1","1","2"
"26/03/2020","28","Jaguar<U+00E9>","0","2","1","3"
"26/03/2020","28","Jer<U+00F4>nimo Monteiro","0","1","1","2"
"26/03/2020","28","Jo<U+00E3>o Neiva","0","0","2","2"
"26/03/2020","28","Laranja da Terra","0","1","0","1"
"26/03/2020","28","Linhares","3","31","98","132"
"26/03/2020","28","Manten<U+00F3>polis","0","0","1","1"
"26/03/2020","28","Marata<U+00ED>zes","0","3","2","5"
"26/03/2020","28","Marechal Floriano","0","0","3","3"
"26/03/2020","28","Maril<U+00E2>ndia","0","0","4","4"
"26/03/2020","28","Mimoso do Sul","0","0","3","3"
"26/03/2020","28","Montanha","0","0","2","2"
"26/03/2020","28","Muniz Freire","0","0","2","2"
"26/03/2020","28","Muqui","0","0","1","1"
"26/03/2020","28","Nova Ven<U+00E9>cia","0","3","3","6"
"26/03/2020","28","Pancas","0","0","2","2"
"26/03/2020","28","Pedro Can<U+00E1>rio","0","0","1","1"
"26/03/2020","28","Pinheiros","0","2","7","9"
"26/03/2020","28","Pi<U+00FA>ma","0","2","8","10"
"26/03/2020","28","Ponto Belo","0","0","1","1"
"26/03/2020","28","Rio Bananal","0","0","2","2"
"26/03/2020","28","Rio Novo do Sul","0","0","1","1"
"26/03/2020","28","Santa Maria de Jetib<U+00E1>","0","5","1","6"
"26/03/2020","28","Santa Teresa","1","1","0","2"
"26/03/2020","28","S<U+00E3>o Gabriel da Palha","0","1","0","1"
"26/03/2020","28","S<U+00E3>o Mateus","0","4","9","13"
"26/03/2020","28","S<U+00E3>o Roque do Cana<U+00E3>","0","0","1","1"
"26/03/2020","28","Serra","3","39","236","278"
"26/03/2020","28","Vargem Alta","0","0","2","2"
"26/03/2020","28","Venda Nova do Imigrante","0","1","3","4"
"26/03/2020","28","Viana","0","5","33","38"
"26/03/2020","28","Vila Pav<U+00E3>o","0","0","1","1"
"26/03/2020","28","Vila Velha","20","103","246","369"
"26/03/2020","28","Vit<U+00F3>ria","17","80","132","229"
"26/03/2020","28","Caso do Rio de Janeiro identificado em Vit<U+00F3>ria*","1","-","-","-"
"26/03/2020","28","Total","47<U+00A0>+ 1*","363","1.039","1.450"
