regiao;estado;data;casosNovos;casosacumulados;obitosNovos;obitosacumulados
Centro-Oeste;DF;2020-03-07;0;1;0;0
Centro-Oeste;DF;2020-03-08;0;1;0;0
Centro-Oeste;DF;2020-03-09;0;1;0;0
Centro-Oeste;DF;2020-03-10;0;1;0;0
Centro-Oeste;DF;2020-03-11;1;2;0;0
Centro-Oeste;DF;2020-03-12;0;2;0;0
Centro-Oeste;DF;2020-03-13;0;2;0;0
Centro-Oeste;DF;2020-03-14;6;8;0;0
Centro-Oeste;DF;2020-03-15;6;14;0;0
Centro-Oeste;DF;2020-03-16;5;19;0;0
Centro-Oeste;DF;2020-03-18;15;34;0;0
Centro-Oeste;DF;2020-03-19;8;42;0;0
Centro-Oeste;DF;2020-03-20;45;87;0;0
Centro-Oeste;DF;2020-03-21;21;108;0;0
Centro-Oeste;DF;2020-03-22;9;117;0;0
Centro-Oeste;DF;2020-03-23;21;138;0;0
Centro-Oeste;DF;2020-03-24;23;161;0;0
Centro-Oeste;DF;2020-03-25;34;195;0;0
Centro-Oeste;DF;2020-03-26;6;201;0;0
Centro-Oeste;DF;2020-03-27;40;241;0;0
Centro-Oeste;DF;2020-03-28;19;260;0;0
Centro-Oeste;DF;2020-03-29;38;298;1;1
Centro-Oeste;DF;2020-03-30;14;312;1;2
Centro-Oeste;DF;2020-03-31;21;333;1;3
Centro-Oeste;DF;2020-04-01;37;370;1;4
Centro-Oeste;DF;2020-04-02;30;400;1;5
Centro-Oeste;DF;2020-04-03;19;419;1;6
Centro-Oeste;DF;2020-04-04;37;456;1;7
Centro-Oeste;DF;2020-04-05;12;468;0;7
Centro-Oeste;DF;2020-04-06;17;485;3;10
Centro-Oeste;DF;2020-04-07;18;503;2;12
Centro-Oeste;DF;2020-04-08;6;509;0;12
Centro-Oeste;DF;2020-04-09;18;527;1;13
Centro-Oeste;DF;2020-04-10;29;556;1;14
Centro-Oeste;DF;2020-04-11;36;592;0;14
Centro-Oeste;DF;2020-04-12;26;618;0;14
Centro-Oeste;DF;2020-04-13;23;641;1;15
Centro-Oeste;DF;2020-04-14;10;651;2;17
Centro-Oeste;DF;2020-04-15;37;688;0;17
Centro-Oeste;DF;2020-04-16;39;727;3;20
Centro-Oeste;DF;2020-04-17;29;756;4;24
Centro-Oeste;DF;2020-04-18;40;796;0;24
Centro-Oeste;DF;2020-04-19;64;860;0;24
Centro-Oeste;DF;2020-04-20;15;875;0;24
Centro-Oeste;DF;2020-04-21;38;913;0;24
Centro-Oeste;DF;2020-04-22;46;959;1;25
Centro-Oeste;DF;2020-04-23;9;968;1;26
Centro-Oeste;DF;2020-04-24;44;1012;0;26
Centro-Oeste;DF;2020-04-25;8;1020;1;27
Centro-Oeste;DF;2020-04-26;105;1125;0;27
Centro-Oeste;DF;2020-04-27;64;1189;1;28
Centro-Oeste;DF;2020-04-28;41;1230;0;28
Centro-Oeste;DF;2020-04-29;83;1313;0;28
Centro-Oeste;DF;2020-04-30;110;1423;2;30
Centro-Oeste;DF;2020-05-01;123;1546;1;31
Centro-Oeste;DF;2020-05-02;59;1605;1;32
Centro-Oeste;DF;2020-05-03;115;1720;1;33
Centro-Oeste;DF;2020-05-04;73;1793;0;33
Centro-Oeste;DF;2020-05-05;44;1837;1;34
Centro-Oeste;DF;2020-05-06;209;2046;1;35
Centro-Oeste;DF;2020-05-07;212;2258;0;35
Centro-Oeste;DF;2020-05-08;184;2442;2;37
Centro-Oeste;DF;2020-05-09;134;2576;2;39
Centro-Oeste;DF;2020-05-10;106;2682;3;42
Centro-Oeste;DF;2020-05-11;117;2799;2;44
Centro-Oeste;DF;2020-05-12;180;2979;2;46
Centro-Oeste;DF;2020-05-13;213;3192;2;48
Centro-Oeste;DF;2020-05-14;224;3416;3;51
Centro-Oeste;DF;2020-05-15;371;3787;4;55
Centro-Oeste;DF;2020-05-16;353;4140;1;56
Centro-Oeste;DF;2020-05-17;228;4368;2;58
Centro-Oeste;DF;2020-05-18;250;4618;8;66
Centro-Oeste;DF;2020-05-19;235;4853;6;72
Centro-Oeste;DF;2020-05-20;418;5271;6;78
Centro-Oeste;DF;2020-05-21;271;5542;6;84
Centro-Oeste;DF;2020-05-22;406;5948;6;90
Centro-Oeste;DF;2020-05-23;300;6248;5;95
Centro-Oeste;DF;2020-05-24;390;6638;9;104
Centro-Oeste;DF;2020-05-25;292;6930;10;114
Centro-Oeste;DF;2020-05-26;280;7210;10;124
Centro-Oeste;DF;2020-05-27;551;7761;9;133
Centro-Oeste;DF;2020-05-28;539;8300;9;142
Centro-Oeste;DF;2020-05-29;422;8722;12;154
Centro-Oeste;DF;2020-05-30;752;9474;8;162
Centro-Oeste;DF;2020-05-31;306;9780;8;170
Centro-Oeste;DF;2020-06-01;730;10510;3;173
Centro-Oeste;DF;2020-06-02;746;11256;4;177
Centro-Oeste;DF;2020-06-03;764;12020;14;191
Centro-Oeste;DF;2020-06-04;903;12923;5;196
Centro-Oeste;DF;2020-06-05;1285;14208;6;202
Centro-Oeste;DF;2020-06-06;1642;15850;6;208
Centro-Oeste;DF;2020-06-07;773;16623;6;214
Centro-Oeste;GO;2020-03-12;0;3;0;0
Centro-Oeste;GO;2020-03-13;0;3;0;0
Centro-Oeste;GO;2020-03-14;1;4;0;0
Centro-Oeste;GO;2020-03-15;0;4;0;0
Centro-Oeste;GO;2020-03-16;5;9;0;0
Centro-Oeste;GO;2020-03-17;1;10;0;0
Centro-Oeste;GO;2020-03-18;2;12;0;0
Centro-Oeste;GO;2020-03-19;3;15;0;0
Centro-Oeste;GO;2020-03-20;3;18;0;0
Centro-Oeste;GO;2020-03-21;1;19;0;0
Centro-Oeste;GO;2020-03-22;2;21;0;0
Centro-Oeste;GO;2020-03-23;2;23;0;0
Centro-Oeste;GO;2020-03-24;6;29;0;0
Centro-Oeste;GO;2020-03-25;6;35;0;0
Centro-Oeste;GO;2020-03-26;3;38;1;1
Centro-Oeste;GO;2020-03-27;11;49;0;1
Centro-Oeste;GO;2020-03-28;7;56;0;1
Centro-Oeste;GO;2020-03-29;0;56;0;1
Centro-Oeste;GO;2020-03-30;4;60;0;1
Centro-Oeste;GO;2020-03-31;5;65;0;1
Centro-Oeste;GO;2020-04-01;8;73;0;1
Centro-Oeste;GO;2020-04-02;0;73;0;1
Centro-Oeste;GO;2020-04-03;15;88;1;2
Centro-Oeste;GO;2020-04-04;15;103;0;2
Centro-Oeste;GO;2020-04-05;12;115;1;3
Centro-Oeste;GO;2020-04-06;4;119;2;5
Centro-Oeste;GO;2020-04-07;14;133;0;5
Centro-Oeste;GO;2020-04-08;26;159;2;7
Centro-Oeste;GO;2020-04-09;20;179;0;7
Centro-Oeste;GO;2020-04-10;12;191;1;8
Centro-Oeste;GO;2020-04-11;18;209;2;10
Centro-Oeste;GO;2020-04-12;20;229;4;14
