"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-04-16,461,468,464,524,404,438
2020-04-17,537,547,542,613,471,557
2020-04-18,626,638,632,714,550,640
2020-04-19,728,743,736,832,640,685
2020-04-20,848,861,854,965,743,902
2020-04-21,988,996,992,1121,863,1026
2020-04-22,1150,1147,1148,1297,999,1195
2020-04-23,1339,1315,1327,1500,1154,1267
2020-04-24,1559,1501,1530,1729,1331,NA
2020-04-25,1815,1705,1760,1989,1531,NA
2020-04-26,2114,1926,2020,2283,1757,NA
2020-04-27,2461,2161,2311,2612,2010,NA
2020-04-28,2866,2411,2638,2981,2295,NA
2020-04-29,3337,2671,3004,3395,2613,NA
2020-04-30,3885,2938,3412,3856,2968,NA
