"dia_ano","dias","otimista","casos_estimados","pessimista","x"
118,2020-04-27,96,119,142,114
119,2020-04-28,113,140,167,129
120,2020-04-29,133,164,195,137
121,2020-04-30,155,192,229,208
122,2020-05-01,181,224,267,235
123,2020-05-02,211,260,309,273
124,2020-05-03,243,300,357,309
125,2020-05-04,279,345,411,330
126,2020-05-05,318,393,468,NA
127,2020-05-06,360,445,530,NA
128,2020-05-07,406,501,596,NA
129,2020-05-08,453,559,665,NA
130,2020-05-09,500,618,736,NA
131,2020-05-10,550,679,808,NA
132,2020-05-11,598,739,880,NA
