"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-31,95,102,98,112,84,96
2020-04-01,109,117,113,129,97,120
2020-04-02,125,133,129,147,111,139
2020-04-03,143,151,147,167,127,153
2020-04-04,163,170,166,189,143,166
2020-04-05,186,189,188,214,162,194
2020-04-06,213,209,211,240,182,209
2020-04-07,244,229,236,269,203,227
2020-04-08,279,249,264,301,227,NA
2020-04-09,319,268,294,335,253,NA
2020-04-10,364,287,326,371,281,NA
2020-04-11,417,304,360,410,310,NA
2020-04-12,476,320,398,453,343,NA
2020-04-13,545,335,440,501,379,NA
2020-04-14,623,348,486,554,418,NA
