"dia_ano","dias","otimista","casos_estimados","pessimista","x"
142,2020-05-21,75,79,83,78
143,2020-05-22,79,83,87,80
144,2020-05-23,85,89,93,87
145,2020-05-24,90,94,98,92
146,2020-05-25,95,100,105,97
147,2020-05-26,101,106,111,105
148,2020-05-27,108,113,118,113
149,2020-05-28,114,120,126,122
150,2020-05-29,121,127,133,NA
151,2020-05-30,129,135,141,NA
152,2020-05-31,136,143,150,NA
153,2020-06-01,145,152,159,NA
154,2020-06-02,155,162,169,NA
155,2020-06-03,164,172,180,NA
156,2020-06-04,175,183,191,NA
