"dia_ano","dias","otimista","casos_estimados","pessimista","x"
162,2020-06-10,1097,1268,1439,1322
163,2020-06-11,1140,1318,1496,1360
164,2020-06-12,1184,1369,1554,1399
165,2020-06-13,1230,1422,1614,1436
166,2020-06-14,1279,1478,1677,1467
167,2020-06-15,1328,1535,1742,1499
168,2020-06-16,1380,1595,1810,1537
169,2020-06-17,1433,1657,1881,1570
170,2020-06-18,1490,1722,1954,1607
171,2020-06-19,1548,1789,2030,1645
172,2020-06-20,1608,1859,2110,1684
173,2020-06-21,1670,1931,2192,NA
174,2020-06-22,1735,2006,2277,NA
175,2020-06-23,1803,2084,2365,NA
176,2020-06-24,1874,2166,2458,NA
177,2020-06-25,1946,2250,2554,NA
178,2020-06-26,2022,2338,2654,NA
179,2020-06-27,2101,2429,2757,NA
180,2020-06-28,2183,2523,2863,NA
181,2020-06-29,2268,2622,2976,NA
182,2020-06-30,2356,2724,3092,NA
