"dia_ano","dias","otimista","casos_estimados","pessimista","x"
181,2020-06-29,65,80,95,75
182,2020-06-30,68,84,100,76
183,2020-07-01,72,89,106,85
184,2020-07-02,77,94,111,91
185,2020-07-03,81,99,117,107
186,2020-07-04,85,104,123,114
187,2020-07-05,90,110,130,117
188,2020-07-06,94,116,138,122
189,2020-07-07,99,122,145,128
190,2020-07-08,105,129,153,134
191,2020-07-09,111,136,161,136
192,2020-07-10,117,144,171,NA
193,2020-07-11,124,152,180,NA
194,2020-07-12,130,160,190,NA
195,2020-07-13,138,169,200,NA
196,2020-07-14,146,179,212,NA
197,2020-07-15,153,188,223,NA
198,2020-07-16,162,199,236,NA
199,2020-07-17,171,210,249,NA
200,2020-07-18,180,221,262,NA
201,2020-07-19,191,234,277,NA
