"dia_ano","dias","otimista","casos_estimados","pessimista","x"
181,2020-06-29,467,541,615,582
182,2020-06-30,497,576,655,593
183,2020-07-01,529,612,695,634
184,2020-07-02,562,651,740,674
185,2020-07-03,599,693,787,709
186,2020-07-04,637,737,837,755
187,2020-07-05,676,783,890,807
188,2020-07-06,719,833,947,826
189,2020-07-07,765,886,1007,846
190,2020-07-08,814,943,1072,882
191,2020-07-09,866,1003,1140,928
192,2020-07-10,922,1067,1212,NA
193,2020-07-11,979,1134,1289,NA
194,2020-07-12,1042,1207,1372,NA
195,2020-07-13,1108,1283,1458,NA
196,2020-07-14,1179,1365,1551,NA
197,2020-07-15,1254,1452,1650,NA
198,2020-07-16,1333,1544,1755,NA
199,2020-07-17,1419,1643,1867,NA
200,2020-07-18,1509,1747,1985,NA
201,2020-07-19,1605,1858,2111,NA
