"dia_ano","dias","otimista","casos_estimados","pessimista","x"
152,2020-05-31,299,319,339,323
153,2020-06-01,315,336,357,341
154,2020-06-02,331,353,375,367
155,2020-06-03,348,371,394,378
156,2020-06-04,365,389,413,387
157,2020-06-05,382,407,432,410
158,2020-06-06,401,427,453,NA
159,2020-06-07,419,446,473,431
160,2020-06-08,438,467,496,NA
161,2020-06-09,457,487,517,NA
162,2020-06-10,477,508,539,NA
163,2020-06-11,498,530,562,NA
164,2020-06-12,517,551,585,NA
165,2020-06-13,538,573,608,NA
166,2020-06-14,559,595,631,NA
