"data","boletim","Municipio_deresidencia","Casoconfirmado","Casodescartado","Casosuspeito","Total"
"27/03/2020","29","Afonso Cláudio","0","1","0","1"
"27/03/2020","29","Água Doce do Norte","0","1","2","3"
"27/03/2020","29","Alegre","0","2","1","3"
"27/03/2020","29","Alfredo Chaves","0","3","2","5"
"27/03/2020","29","Anchieta","0","1","5","6"
"27/03/2020","29","Apiacá","0","0","20","20"
"27/03/2020","29","Aracruz","0","5","5","10"
"27/03/2020","29","Atílio Vivácqua","0","1","2","3"
"27/03/2020","29","Barra de São Francisco","0","2","3","5"
"27/03/2020","29","Boa Esperança","0","1","","1"
"27/03/2020","29","Bom Jesus do Norte","0","0","10","10"
"27/03/2020","29","Cachoeiro de Itapemirim","1","10","23","34"
"27/03/2020","29","Cariacica","1","36","96","133"
"27/03/2020","29","Castelo","1","1","7","9"
"27/03/2020","29","Colatina","0","8","16","24"
"27/03/2020","29","Divino de São Lourenço","0","0","1","1"
"27/03/2020","29","Domingos Martins","0","2","8","10"
"27/03/2020","29","Dores do Rio Preto","0","0","1","1"
"27/03/2020","29","Ecoporanga","0","0","1","1"
"27/03/2020","29","Fundão","0","0","11","11"
"27/03/2020","29","Governador Lindenberg","0","0","1","1"
"27/03/2020","29","Guaçuí","0","1","4","5"
"27/03/2020","29","Guarapari","0","13","7","20"
"27/03/2020","29","Ibiraçu","0","0","1","1"
"27/03/2020","29","Iconha","0","0","4","4"
"27/03/2020","29","Itaguaçu","0","0","1","1"
"27/03/2020","29","Itapemirim","0","1","2","3"
"27/03/2020","29","Itarana","0","1","1","2"
"27/03/2020","29","Jaguaré","0","2","1","3"
"27/03/2020","29","Jerônimo Monteiro","0","1","1","2"
"27/03/2020","29","João Neiva","0","0","3","3"
"27/03/2020","29","Laranja da Terra","0","1","","1"
"27/03/2020","29","Linhares","4","34","95","133"
"27/03/2020","29","Mantenópolis","0","0","2","2"
"27/03/2020","29","Marataízes","0","3","3","6"
"27/03/2020","29","Marechal Floriano","0","0","3","3"
"27/03/2020","29","Marilândia","0","0","5","5"
"27/03/2020","29","Mimoso do Sul","0","0","5","5"
"27/03/2020","29","Montanha","0","0","2","2"
"27/03/2020","29","Muniz Freire","0","0","2","2"
"27/03/2020","29","Muqui","0","0","1","1"
"27/03/2020","29","Nova Venécia","0","3","3","6"
"27/03/2020","29","Pancas","0","0","2","2"
"27/03/2020","29","Pedro Canário","0","0","1","1"
"27/03/2020","29","Pinheiros","0","2","7","9"
"27/03/2020","29","Piúma","0","3","9","12"
"27/03/2020","29","Ponto Belo","0","0","1","1"
"27/03/2020","29","Rio Bananal","0","0","3","3"
"27/03/2020","29","Rio Novo do Sul","0","0","2","2"
"27/03/2020","29","Santa Maria de Jetibá","0","5","1","6"
"27/03/2020","29","Santa Teresa","1","1","","2"
"27/03/2020","29","São Gabriel da Palha","0","1","","1"
"27/03/2020","29","São Mateus","0","5","7","12"
"27/03/2020","29","São Roque do Canaã","1","0","1","2"
"27/03/2020","29","Serra","5","42","265","312"
"27/03/2020","29","Vargem Alta","0","0","2","2"
"27/03/2020","29","Venda Nova do Imigrante","0","1","3","4"
"27/03/2020","29","Viana","0","5","37","42"
"27/03/2020","29","Vila Pavão","0","0","1","1"
"27/03/2020","29","Vila Velha","21","116","260","397"
"27/03/2020","29","Vitória","18","96","142","256"
"27/03/2020","29","Caso do Rio de Janeiro identificado em Vitória*","1","-","-","-"
"27/03/2020","29","Total","53 + 1*","411","1.105","1.570"
