"dia_ano","dias","otimista","casos_estimados","pessimista","x"
138,2020-05-17,103,113,123,119
139,2020-05-18,110,121,132,127
140,2020-05-19,117,129,141,136
141,2020-05-20,125,138,151,142
142,2020-05-21,135,148,161,151
143,2020-05-22,145,159,173,157
144,2020-05-23,155,170,185,162
145,2020-05-24,165,181,197,163
146,2020-05-25,176,194,212,NA
147,2020-05-26,189,208,227,NA
148,2020-05-27,202,222,242,NA
149,2020-05-28,216,238,260,NA
150,2020-05-29,231,254,277,NA
151,2020-05-30,247,272,297,NA
152,2020-05-31,265,291,317,NA
