"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
115,2020-04-24,351,396,441,413
116,2020-04-25,417,471,525,501
117,2020-04-26,495,559,623,554
118,2020-04-27,585,661,737,643
119,2020-04-28,689,778,867,777
120,2020-04-29,807,912,1017,957
121,2020-04-30,941,1063,1185,1044
122,2020-05-01,1091,1232,1373,1226
123,2020-05-02,1255,1418,1581,NA
124,2020-05-03,1434,1620,1806,NA
125,2020-05-04,1625,1836,2047,NA
126,2020-05-05,1827,2064,2301,NA
127,2020-05-06,2036,2300,2564,NA
128,2020-05-07,2249,2540,2831,NA
129,2020-05-08,2460,2779,3098,NA
