"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
"Denmark",2019-12-30,0,0,0,0,0
"Denmark",2019-12-31,0,0,0,0,0
"Denmark",2020-01-01,0,0,0,0,0
"Denmark",2020-01-02,0,0,0,0,0
"Denmark",2020-01-03,0,0,0,0,0
"Denmark",2020-01-04,0,0,0,0,0
"Denmark",2020-01-05,0,0,0,0,0
"Denmark",2020-01-06,0,0,0,0,0
"Denmark",2020-01-07,0,0,0,0,0
"Denmark",2020-01-08,0,0,0,0,0
"Denmark",2020-01-09,0,0,0,0,0
"Denmark",2020-01-10,0,0,0,0,0
"Denmark",2020-01-11,0,0,0,0,0
"Denmark",2020-01-12,0,0,0,0,0
"Denmark",2020-01-13,0,0,0,0,0
"Denmark",2020-01-14,0,0,0,0,0
"Denmark",2020-01-15,0,0,0,0,0
"Denmark",2020-01-16,0,0,0,0,0
"Denmark",2020-01-17,0,0,0,0,0
"Denmark",2020-01-18,0,0,0,0,0
"Denmark",2020-01-19,0,0,0,0,0
"Denmark",2020-01-20,0,0,0,0,0
"Denmark",2020-01-21,0,0,0,0,0
"Denmark",2020-01-22,0,0,0,0,0
"Denmark",2020-01-23,0,0,0,0,0
"Denmark",2020-01-24,0,0,0,0,0
"Denmark",2020-01-25,0,0,0,0,0
"Denmark",2020-01-26,0,0,0,0,0
"Denmark",2020-01-27,0,0,0,0,0
"Denmark",2020-01-28,0,0,0,0,0
"Denmark",2020-01-29,0,0,0,0,0
"Denmark",2020-01-30,0,0,0,0,0
"Denmark",2020-01-31,0,0,0,0,0
"Denmark",2020-02-01,0,0,0,0,0
"Denmark",2020-02-02,0,0,0,0,0
"Denmark",2020-02-03,0,0,0,0,0
"Denmark",2020-02-04,0,0,0,0,0
"Denmark",2020-02-05,0,0,0,0,0
"Denmark",2020-02-06,0,0,0,0,0
"Denmark",2020-02-07,1,1,1,0,0
"Denmark",2020-02-08,1,1,1,0,0
"Denmark",2020-02-09,1,1,1,0,0
"Denmark",2020-02-10,1,1,1,0,0
"Denmark",2020-02-11,1,1,1,0,0
"Denmark",2020-02-12,1,2,3,0,0
"Denmark",2020-02-13,1,2,3,0,0
"Denmark",2020-02-14,1,2,3,0,0
"Denmark",2020-02-15,2,3,4,0,0
"Denmark",2020-02-16,3,4,5,0,0
"Denmark",2020-02-17,4,5,6,0,0
"Denmark",2020-02-18,4,6,8,0,0
"Denmark",2020-02-19,5,7,9,0,0
"Denmark",2020-02-20,6,8,10,0,0
"Denmark",2020-02-21,7,10,13,0,0
"Denmark",2020-02-22,9,13,17,0,0
"Denmark",2020-02-23,11,15,19,0,0
"Denmark",2020-02-24,14,19,24,1,0
"Denmark",2020-02-25,17,23,29,1,0
"Denmark",2020-02-26,20,28,36,1,1
"Denmark",2020-02-27,24,34,44,1,1
"Denmark",2020-02-28,30,42,54,1,2
"Denmark",2020-02-29,37,51,65,2,3
"Denmark",2020-03-01,45,63,81,2,4
"Denmark",2020-03-02,55,76,97,2,5
"Denmark",2020-03-03,67,93,119,3,8
"Denmark",2020-03-04,81,113,145,3,10
"Denmark",2020-03-05,98,137,176,4,20
"Denmark",2020-03-06,119,166,213,5,23
"Denmark",2020-03-07,144,200,256,6,31
"Denmark",2020-03-08,172,240,308,7,38
"Denmark",2020-03-09,207,288,369,9,113
"Denmark",2020-03-10,246,343,440,10,264
"Denmark",2020-03-11,291,406,521,12,516
"Denmark",2020-03-12,344,479,614,14,676
"Denmark",2020-03-13,402,560,718,17,804
"Denmark",2020-03-14,467,651,835,19,827
"Denmark",2020-03-15,538,749,960,22,875
"Denmark",2020-03-16,614,855,1096,25,932
"Denmark",2020-03-17,694,966,1238,29,1024
"Denmark",2020-03-18,776,1081,1386,32,1115
"Denmark",2020-03-19,859,1196,1533,35,1151
"Denmark",2020-03-20,941,1310,1679,39,1255
"Denmark",2020-03-21,1020,1421,1822,42,1326
"Denmark",2020-03-22,1096,1527,1958,45,1395
"Denmark",2020-03-23,1167,1625,2083,48,1460
"Denmark",2020-03-24,1231,1715,2199,51,1591
"Denmark",2020-03-25,1289,1796,2303,53,1724
"Denmark",2020-03-26,1341,1868,2395,55,1877
"Denmark",2020-03-27,1386,1931,2476,57,2046
"Denmark",2020-03-28,1426,1986,2546,59,2201
"Denmark",2020-03-29,1460,2033,2606,60,NA
"Denmark",2020-03-30,1488,2073,2658,61,NA
"Denmark",2020-03-31,1513,2107,2701,62,NA
"Denmark",2020-04-01,1534,2136,2738,63,NA
"Denmark",2020-04-02,1550,2159,2768,64,NA
"Denmark",2020-04-03,1564,2179,2794,64,NA
"Denmark",2020-04-04,1577,2196,2815,65,NA
