"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-06-09,47501,52177,49839,55838,43840,52069
2020-06-10,49895,53944,51920,58170,45670,53508
2020-06-11,52411,55659,54035,60539,47531,55680
2020-06-12,55053,57317,56185,62948,49422,57605
2020-06-13,57828,58914,58371,65397,51345,58859
2020-06-14,60744,60446,60595,67889,53301,59850
2020-06-15,63806,61910,62858,70424,55292,60592
2020-06-16,67022,63306,65164,73008,57320,62711
2020-06-17,70401,64631,67516,75643,59389,64735
2020-06-18,73951,65886,69918,78334,61502,66091
2020-06-19,77679,67071,72375,81087,63663,68500
2020-06-20,81595,68187,74891,83905,65877,NA
2020-06-21,85708,69235,77472,86797,68147,NA
2020-06-22,90029,70217,80123,89767,70479,NA
2020-06-23,94568,71135,82852,92825,72879,NA
2020-06-24,99335,71991,85663,95974,75352,NA
2020-06-25,104343,72788,88566,99227,77905,NA
2020-06-26,109603,73528,91566,102588,80544,NA
2020-06-27,115129,74215,94672,106068,83276,NA
2020-06-28,120933,74851,97892,109675,86109,NA
2020-06-29,127029,75440,101234,113419,89049,NA
