"dia_ano","dias","otimista","casos_estimados","pessimista","x"
195,2020-07-13,800,905,1010,930
196,2020-07-14,830,939,1048,960
197,2020-07-15,861,975,1089,1001
198,2020-07-16,894,1012,1130,1037
199,2020-07-17,928,1051,1174,1060
200,2020-07-18,964,1091,1218,1075
201,2020-07-19,1000,1132,1264,1085
202,2020-07-20,1039,1176,1313,1112
203,2020-07-21,1078,1220,1362,1158
204,2020-07-22,1119,1267,1415,1176
205,2020-07-23,1162,1315,1468,1218
206,2020-07-24,1207,1366,1525,NA
207,2020-07-25,1253,1418,1583,NA
208,2020-07-26,1300,1472,1644,NA
209,2020-07-27,1350,1528,1706,NA
210,2020-07-28,1401,1586,1771,NA
211,2020-07-29,1455,1647,1839,NA
212,2020-07-30,1510,1709,1908,NA
213,2020-07-31,1568,1775,1982,NA
214,2020-08-01,1627,1842,2057,NA
215,2020-08-02,1690,1913,2136,NA
