location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-08-15;total_cases;54;2020-06-25;12304;2020-08-15;22516;1.83
AL;2020-08-15;total_cases;44;2020-07-05;39935;2020-08-15;72076;1.8
AM;2020-08-15;total_cases;60;2020-06-19;61683;2020-08-15;111241;1.8
AP;2020-08-15;total_cases;58;2020-06-21;21840;2020-08-15;39431;1.81
BA;2020-08-15;total_cases;32;2020-07-17;118657;2020-08-15;214379;1.81
CE;2020-08-15;total_cases;49;2020-06-30;108699;2020-08-15;197381;1.82
DF;2020-08-15;total_cases;35;2020-07-14;73654;2020-08-15;135014;1.83
ES;2020-08-15;total_cases;43;2020-07-06;54547;2020-08-15;98765;1.81
GO;2020-08-15;total_cases;23;2020-07-26;55914;2020-08-15;100938;1.81
MA;2020-08-15;total_cases;54;2020-06-25;74925;2020-08-15;136280;1.82
MG;2020-08-15;total_cases;29;2020-07-20;94132;2020-08-15;171514;1.82
MS;2020-08-15;total_cases;26;2020-07-23;19671;2020-08-15;36542;1.86
MT;2020-08-15;total_cases;27;2020-07-22;38772;2020-08-15;72761;1.88
PA;2020-08-15;total_cases;53;2020-06-26;96472;2020-08-15;177010;1.83
PB;2020-08-15;total_cases;44;2020-07-05;52728;2020-08-15;95588;1.81
PE;2020-08-15;total_cases;47;2020-07-02;61119;2020-08-15;111773;1.83
PI;2020-08-15;total_cases;34;2020-07-15;35445;2020-08-15;65638;1.85
PR;2020-08-15;total_cases;28;2020-07-21;57538;2020-08-15;103771;1.8
RJ;2020-08-15;total_cases;55;2020-06-24;103493;2020-08-15;190614;1.84
RN;2020-08-15;total_cases;48;2020-07-01;31899;2020-08-15;57660;1.81
RO;2020-08-15;total_cases;39;2020-07-10;26000;2020-08-15;47652;1.83
RR;2020-08-15;total_cases;38;2020-07-11;21849;2020-08-15;39397;1.8
RS;2020-08-15;total_cases;27;2020-07-22;53073;2020-08-15;97445;1.84
SC;2020-08-15;total_cases;25;2020-07-24;65017;2020-08-15;120001;1.85
SE;2020-08-15;total_cases;38;2020-07-11;36046;2020-08-15;67701;1.88
SP;2020-08-15;total_cases;35;2020-07-14;386607;2020-08-15;697530;1.8
TO;2020-08-15;total_cases;25;2020-07-24;19965;2020-08-15;36478;1.83
