"dia_ano","dias","otimista","casos_estimados","pessimista","x"
177,2020-06-25,792,936,1080,958
178,2020-06-26,818,967,1116,975
179,2020-06-27,846,1000,1154,993
180,2020-06-28,874,1033,1192,1012
181,2020-06-29,904,1068,1232,1032
182,2020-06-30,934,1104,1274,1052
183,2020-07-01,966,1141,1316,1072
184,2020-07-02,999,1180,1361,1091
185,2020-07-03,1032,1219,1406,1113
186,2020-07-04,1067,1261,1455,1134
187,2020-07-05,1103,1303,1503,1153
188,2020-07-06,1140,1347,1554,NA
189,2020-07-07,1178,1392,1606,NA
190,2020-07-08,1218,1439,1660,NA
191,2020-07-09,1258,1487,1716,NA
192,2020-07-10,1301,1537,1773,NA
193,2020-07-11,1345,1589,1833,NA
194,2020-07-12,1391,1643,1895,NA
195,2020-07-13,1437,1698,1959,NA
196,2020-07-14,1485,1755,2025,NA
197,2020-07-15,1535,1814,2093,NA
