"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-05-24,7739,7984,7862,8233,7491,7823
2020-05-25,8419,8657,8538,8941,8135,8016
2020-05-26,9159,9371,9265,9703,8827,8919
2020-05-27,9965,10126,10046,10520,9572,10209
2020-05-28,10841,10922,10882,11396,10368,11132
2020-05-29,11794,11758,11776,12332,11220,12011
2020-05-30,12832,12633,12732,13333,12131,12862
2020-05-31,13960,13544,13752,14401,13103,13162
2020-06-01,15187,14489,14838,15539,14137,NA
2020-06-02,16523,15464,15994,16749,15239,NA
2020-06-03,17976,16467,17222,18035,16409,NA
2020-06-04,19556,17492,18524,19399,17649,NA
2020-06-05,21276,18536,19906,20846,18966,NA
2020-06-06,23147,19593,21370,22379,20361,NA
2020-06-07,25182,20659,22920,24002,21838,NA
