location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-08-23;total_deaths;63;2020-06-24;326;2020-08-23;600;1.84
AL;2020-08-23;total_deaths;60;2020-06-27;993;2020-08-23;1818;1.83
AM;2020-08-23;total_deaths;90;2020-05-28;1964;2020-08-23;3563;1.81
AP;2020-08-23;total_deaths;68;2020-06-19;348;2020-08-23;631;1.81
BA;2020-08-23;total_deaths;41;2020-07-16;2693;2020-08-23;4905;1.82
CE;2020-08-23;total_deaths;77;2020-06-10;4480;2020-08-23;8289;1.85
DF;2020-08-23;total_deaths;33;2020-07-24;1244;2020-08-23;2274;1.83
ES;2020-08-23;total_deaths;57;2020-06-30;1648;2020-08-23;3026;1.84
GO;2020-08-23;total_deaths;29;2020-07-28;1473;2020-08-23;2743;1.86
MA;2020-08-23;total_deaths;63;2020-06-24;1836;2020-08-23;3352;1.83
MG;2020-08-23;total_deaths;28;2020-07-29;2608;2020-08-23;4790;1.84
MS;2020-08-23;total_deaths;24;2020-08-02;404;2020-08-23;738;1.83
MT;2020-08-23;total_deaths;36;2020-07-21;1400;2020-08-23;2525;1.8
PA;2020-08-23;total_deaths;84;2020-06-03;3193;2020-08-23;6057;1.9
PB;2020-08-23;total_deaths;46;2020-07-11;1250;2020-08-23;2308;1.85
PE;2020-08-23;total_deaths;68;2020-06-19;4102;2020-08-23;7390;1.8
PI;2020-08-23;total_deaths;45;2020-07-12;936;2020-08-23;1714;1.83
PR;2020-08-23;total_deaths;32;2020-07-25;1653;2020-08-23;2977;1.8
RJ;2020-08-23;total_deaths;69;2020-06-18;8412;2020-08-23;15292;1.82
RN;2020-08-23;total_deaths;53;2020-07-04;1200;2020-08-23;2170;1.81
RO;2020-08-23;total_deaths;48;2020-07-09;589;2020-08-23;1065;1.81
RR;2020-08-23;total_deaths;56;2020-07-01;314;2020-08-23;579;1.84
RS;2020-08-23;total_deaths;29;2020-07-28;1680;2020-08-23;3062;1.82
SC;2020-08-23;total_deaths;26;2020-07-31;1102;2020-08-23;2042;1.85
SE;2020-08-23;total_deaths;45;2020-07-12;984;2020-08-23;1782;1.81
SP;2020-08-23;total_deaths;54;2020-07-03;15694;2020-08-23;28467;1.81
TO;2020-08-23;total_deaths;35;2020-07-22;315;2020-08-23;585;1.86
