location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
Afghanistan;2020-06-01;total_deaths;21;2020-05-14;136;2020-06-01;265;1.95
Albania;2020-06-01;total_deaths;62;2020-04-03;17;2020-06-01;33;1.94
Algeria;2020-06-01;total_deaths;47;2020-04-18;367;2020-06-01;661;1.8
Andorra;2020-06-01;total_deaths;54;2020-04-11;28;2020-06-01;51;1.82
Angola;2020-06-01;total_deaths;15;2020-05-19;2;2020-06-01;4;2
Argentina;2020-06-01;total_deaths;24;2020-05-11;305;2020-06-01;556;1.82
Armenia;2020-06-01;total_deaths;12;2020-05-23;77;2020-06-01;139;1.81
Australia;2020-06-01;total_deaths;54;2020-04-11;57;2020-06-01;103;1.81
Austria;2020-06-01;total_deaths;52;2020-04-13;368;2020-06-01;668;1.82
Azerbaijan;2020-06-01;total_deaths;19;2020-05-16;36;2020-06-01;68;1.89
Bahamas;2020-06-01;total_deaths;58;2020-04-07;6;2020-06-01;11;1.83
Bahrain;2020-06-01;total_deaths;21;2020-05-14;10;2020-06-01;19;1.9
Bangladesh;2020-06-01;total_deaths;16;2020-05-19;370;2020-06-01;672;1.82
Belarus;2020-06-01;total_deaths;25;2020-05-10;131;2020-06-01;240;1.83
Belgium;2020-06-01;total_deaths;48;2020-04-17;5163;2020-06-01;9486;1.84
Belize;2020-06-01;total_deaths;55;2020-04-09;1;2020-06-01;2;2
Bermuda;2020-06-01;total_deaths;39;2020-04-26;5;2020-06-01;9;1.8
Bolivia;2020-06-01;total_deaths;16;2020-05-19;189;2020-06-01;343;1.81
Bosnia.and.Herzegovina;2020-06-01;total_deaths;30;2020-05-05;79;2020-06-01;153;1.94
Brazil;2020-06-01;total_deaths;18;2020-05-17;16118;2020-06-01;29937;1.86
Brunei;2020-06-01;total_deaths;8;2020-05-26;1;2020-06-01;2;2
Bulgaria;2020-06-01;total_deaths;30;2020-05-05;78;2020-06-01;144;1.85
Burkina.Faso;2020-06-01;total_deaths;52;2020-04-13;28;2020-06-01;53;1.89
Cameroon;2020-06-01;total_deaths;26;2020-05-09;108;2020-06-01;199;1.84
