"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas"
"World",2019-12-30,188,226,264,12,27,0
"World",2019-12-31,206,247,288,14,27,0
"World",2020-01-01,225,270,315,15,27,0
"World",2020-01-02,246,295,344,16,44,0
"World",2020-01-03,269,323,377,18,44,0
"World",2020-01-04,294,353,412,19,59,0
"World",2020-01-05,322,386,450,21,59,0
"World",2020-01-06,351,421,491,23,59,0
"World",2020-01-07,384,461,538,25,59,0
"World",2020-01-08,420,504,588,28,59,0
"World",2020-01-09,459,551,643,30,59,1
"World",2020-01-10,502,602,702,33,59,1
"World",2020-01-11,548,658,768,36,59,1
"World",2020-01-12,600,720,840,39,60,1
"World",2020-01-13,656,787,918,43,60,2
"World",2020-01-14,717,860,1003,47,61,2
"World",2020-01-15,783,940,1097,51,61,2
"World",2020-01-16,857,1028,1199,56,66,2
"World",2020-01-17,937,1124,1311,61,83,3
"World",2020-01-18,1024,1229,1434,67,219,3
"World",2020-01-19,1119,1343,1567,73,239,6
"World",2020-01-20,1224,1469,1714,80,392,17
"World",2020-01-21,1338,1606,1874,88,534,17
"World",2020-01-22,1463,1756,2049,96,631,26
"World",2020-01-23,1599,1919,2239,105,897,41
"World",2020-01-24,1748,2098,2448,115,1350,56
"World",2020-01-25,1911,2294,2677,125,2023,81
"World",2020-01-26,2090,2508,2926,137,2820,106
"World",2020-01-27,2285,2742,3199,150,4587,132
"World",2020-01-28,2498,2998,3498,164,6067,170
"World",2020-01-29,2730,3277,3824,179,7823,213
"World",2020-01-30,2985,3583,4181,196,9826,259
"World",2020-01-31,3264,3917,4570,214,11946,305
"World",2020-02-01,3568,4282,4996,234,14554,362
"World",2020-02-02,3901,4682,5463,256,17372,427
"World",2020-02-03,4264,5118,5972,280,20615,493
"World",2020-02-04,4663,5596,6529,306,24522,565
"World",2020-02-05,5097,6117,7137,334,28273,638
"World",2020-02-06,5573,6688,7803,366,31491,724
"World",2020-02-07,6092,7312,8532,400,34933,813
"World",2020-02-08,6661,7994,9327,437,37552,910
"World",2020-02-09,7281,8739,10197,478,40540,1018
"World",2020-02-10,7961,9554,11147,522,43105,1115
"World",2020-02-11,8703,10445,12187,571,45177,1370
"World",2020-02-12,9515,11420,13325,624,60328,1383
"World",2020-02-13,10403,12485,14567,683,64543,1527
"World",2020-02-14,11373,13649,15925,746,67103,1669
"World",2020-02-15,12433,14922,17411,816,69265,1775
"World",2020-02-16,13593,16314,19035,892,71332,1873
"World",2020-02-17,14860,17835,20810,975,73327,2012
"World",2020-02-18,16247,19499,22751,1066,75191,2128
"World",2020-02-19,17762,21317,24872,1165,75723,2247
"World",2020-02-20,19418,23305,27192,1274,76719,2359
"World",2020-02-21,21230,25479,29728,1393,77804,2463
"World",2020-02-22,23209,27855,32501,1523,78812,2619
"World",2020-02-23,25374,30453,35532,1665,79339,2698
"World",2020-02-24,27740,33293,38846,1820,80132,2762
"World",2020-02-25,30327,36398,42469,1990,80995,2800
"World",2020-02-26,33156,39793,46430,2176,82101,2857
"World",2020-02-27,36249,43505,50761,2379,83365,2921
"World",2020-02-28,39629,47562,55495,2600,85203,2979
"World",2020-02-29,43326,51998,60670,2843,87024,3046
"World",2020-03-01,47367,56848,66329,3108,89068,3118
"World",2020-03-02,51784,62149,72514,3398,90664,3202
"World",2020-03-03,56614,67946,79278,3715,93077,3282
"World",2020-03-04,61894,74283,86672,4061,95316,3385
"World",2020-03-05,67666,81211,94756,4440,98172,3488
"World",2020-03-06,73977,88785,103593,4854,102133,3585
"World",2020-03-07,80877,97066,113255,5307,105824,3814
"World",2020-03-08,88420,106119,123818,5802,109695,4023
"World",2020-03-09,96666,116016,135366,6343,114232,4292
"World",2020-03-10,105682,126836,147990,6934,118610,4618
"World",2020-03-11,115539,138666,161793,7581,125497,4969
"World",2020-03-12,126315,151599,176883,8288,133852,5407
"World",2020-03-13,138096,165738,193380,9061,143227,5761
"World",2020-03-14,150975,181195,211415,9906,151367,6506
"World",2020-03-15,165056,198095,231134,10830,167418,7102
"World",2020-03-16,180450,216570,252690,11840,180096,7891
"World",2020-03-17,197280,236769,276258,12945,194836,8842
"World",2020-03-18,215679,258851,302023,14152,213150,9883
"World",2020-03-19,235794,282993,330192,15472,242364,11249
"World",2020-03-20,257786,309387,360988,16915,271106,12939
