"dia_ano","dias","otimista","casos_estimados","pessimista","x"
113,2020-04-22,884,1164,1444,1313
114,2020-04-23,971,1278,1585,1363
115,2020-04-24,1066,1403,1740,1381
116,2020-04-25,1170,1540,1910,1595
117,2020-04-26,1284,1691,2098,1703
118,2020-04-27,1410,1856,2302,1796
119,2020-04-28,1547,2037,2527,1874
120,2020-04-29,1698,2236,2774,2107
121,2020-04-30,1865,2455,3045,NA
122,2020-05-01,2047,2695,3343,NA
123,2020-05-02,2247,2958,3669,NA
124,2020-05-03,2466,3247,4028,NA
125,2020-05-04,2708,3565,4422,NA
126,2020-05-05,2972,3913,4854,NA
127,2020-05-06,3262,4295,5328,NA
