"dia_ano","dias","otimista","casos_estimados","pessimista","x"
143,2020-05-22,4895,5681,6467,5773
144,2020-05-23,5125,5948,6771,6045
145,2020-05-24,5366,6228,7090,6163
146,2020-05-25,5618,6520,7422,6220
147,2020-05-26,5882,6826,7770,6423
148,2020-05-27,6158,7147,8136,6712
149,2020-05-28,6448,7483,8518,6980
150,2020-05-29,6750,7834,8918,7275
151,2020-05-30,7067,8202,9337,NA
152,2020-05-31,7399,8587,9775,NA
153,2020-06-01,7747,8991,10235,NA
154,2020-06-02,8111,9413,10715,NA
155,2020-06-03,8492,9855,11218,NA
156,2020-06-04,8890,10318,11746,NA
157,2020-06-05,9308,10803,12298,NA
