"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
"Taiwan",2019-12-30,0,0,0,0,0
"Taiwan",2019-12-31,0,0,0,0,0
"Taiwan",2020-01-01,0,0,0,0,0
"Taiwan",2020-01-02,0,0,0,0,0
"Taiwan",2020-01-03,0,0,0,0,0
"Taiwan",2020-01-04,0,0,0,0,0
"Taiwan",2020-01-05,0,0,0,0,0
"Taiwan",2020-01-06,0,0,0,0,0
"Taiwan",2020-01-07,0,0,0,0,0
"Taiwan",2020-01-08,0,0,0,0,0
"Taiwan",2020-01-09,0,0,0,0,0
"Taiwan",2020-01-10,0,0,0,0,0
"Taiwan",2020-01-11,0,0,0,0,0
"Taiwan",2020-01-12,0,0,0,0,0
"Taiwan",2020-01-13,0,0,0,0,0
"Taiwan",2020-01-14,0,0,0,0,0
"Taiwan",2020-01-15,0,0,0,0,0
"Taiwan",2020-01-16,0,0,0,0,0
"Taiwan",2020-01-17,0,0,0,0,0
"Taiwan",2020-01-18,0,0,0,0,0
"Taiwan",2020-01-19,0,0,0,0,0
"Taiwan",2020-01-20,0,0,0,0,1
"Taiwan",2020-01-21,0,0,0,0,1
"Taiwan",2020-01-22,1,1,1,0,1
"Taiwan",2020-01-23,1,1,1,0,1
"Taiwan",2020-01-24,1,1,1,0,3
"Taiwan",2020-01-25,1,1,1,0,3
"Taiwan",2020-01-26,1,1,1,0,5
"Taiwan",2020-01-27,1,1,1,0,7
"Taiwan",2020-01-28,1,1,1,0,8
"Taiwan",2020-01-29,1,1,1,0,8
"Taiwan",2020-01-30,1,1,1,0,9
"Taiwan",2020-01-31,1,1,1,0,10
"Taiwan",2020-02-01,1,1,1,0,10
"Taiwan",2020-02-02,1,1,1,0,10
"Taiwan",2020-02-03,1,2,3,0,10
"Taiwan",2020-02-04,1,2,3,0,11
"Taiwan",2020-02-05,1,2,3,0,11
"Taiwan",2020-02-06,1,2,3,0,16
"Taiwan",2020-02-07,1,2,3,0,17
"Taiwan",2020-02-08,2,3,4,0,18
"Taiwan",2020-02-09,2,3,4,0,18
"Taiwan",2020-02-10,2,3,4,0,18
"Taiwan",2020-02-11,2,3,4,0,18
"Taiwan",2020-02-12,3,4,5,0,18
"Taiwan",2020-02-13,3,4,5,0,18
"Taiwan",2020-02-14,3,5,7,0,18
"Taiwan",2020-02-15,3,5,7,0,18
"Taiwan",2020-02-16,4,6,8,0,20
"Taiwan",2020-02-17,4,6,8,0,22
"Taiwan",2020-02-18,5,7,9,0,22
"Taiwan",2020-02-19,5,7,9,0,24
"Taiwan",2020-02-20,5,8,11,0,24
"Taiwan",2020-02-21,6,9,12,0,26
"Taiwan",2020-02-22,7,10,13,0,26
"Taiwan",2020-02-23,7,11,15,0,28
"Taiwan",2020-02-24,8,12,16,0,30
"Taiwan",2020-02-25,9,13,17,0,31
"Taiwan",2020-02-26,10,15,20,0,32
"Taiwan",2020-02-27,11,16,21,0,34
"Taiwan",2020-02-28,12,18,24,0,39
"Taiwan",2020-02-29,13,20,27,0,40
"Taiwan",2020-03-01,15,22,29,0,40
"Taiwan",2020-03-02,16,24,32,0,41
"Taiwan",2020-03-03,18,26,34,0,42
"Taiwan",2020-03-04,20,29,38,0,0
"Taiwan",2020-03-05,22,32,42,0,44
"Taiwan",2020-03-06,24,35,46,0,45
"Taiwan",2020-03-07,26,39,52,0,45
"Taiwan",2020-03-08,28,42,56,0,45
"Taiwan",2020-03-09,32,47,62,0,0
"Taiwan",2020-03-10,35,52,69,0,48
"Taiwan",2020-03-11,38,57,76,0,48
"Taiwan",2020-03-12,42,63,84,0,49
"Taiwan",2020-03-13,47,69,91,0,53
"Taiwan",2020-03-14,51,76,101,1,59
"Taiwan",2020-03-15,56,83,110,1,59
"Taiwan",2020-03-16,62,92,122,1,67
"Taiwan",2020-03-17,68,101,134,1,77
"Taiwan",2020-03-18,76,112,148,1,108
"Taiwan",2020-03-19,83,123,163,1,108
"Taiwan",2020-03-20,91,135,179,1,135
"Taiwan",2020-03-21,100,149,198,1,153
"Taiwan",2020-03-22,111,164,217,1,165
"Taiwan",2020-03-23,122,181,240,1,195
"Taiwan",2020-03-24,134,199,264,1,216
"Taiwan",2020-03-25,148,219,290,2,235
"Taiwan",2020-03-26,163,241,319,2,252
"Taiwan",2020-03-27,179,266,353,2,267
"Taiwan",2020-03-28,198,293,388,2,283
"Taiwan",2020-03-29,217,322,427,2,NA
"Taiwan",2020-03-30,239,355,471,3,NA
"Taiwan",2020-03-31,264,391,518,3,NA
"Taiwan",2020-04-01,290,430,570,3,NA
"Taiwan",2020-04-02,320,474,628,3,NA
"Taiwan",2020-04-03,352,522,692,4,NA
"Taiwan",2020-04-04,387,574,761,4,NA
