location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
Afghanistan;2020-05-19;total_deaths;17;2020-05-05;95;2020-05-19;178;1.87
Albania;2020-05-19;total_deaths;49;2020-04-03;17;2020-05-19;31;1.82
Algeria;2020-05-19;total_deaths;40;2020-04-12;293;2020-05-19;561;1.91
Andorra;2020-05-19;total_deaths;41;2020-04-11;28;2020-05-19;51;1.82
Argentina;2020-05-19;total_deaths;22;2020-04-30;218;2020-05-19;393;1.8
Armenia;2020-05-19;total_deaths;19;2020-05-03;35;2020-05-19;64;1.83
Australia;2020-05-19;total_deaths;42;2020-04-10;54;2020-05-19;99;1.83
Austria;2020-05-19;total_deaths;40;2020-04-12;350;2020-05-19;632;1.81
Azerbaijan;2020-05-19;total_deaths;24;2020-04-28;22;2020-05-19;41;1.86
Bahamas;2020-05-19;total_deaths;45;2020-04-07;6;2020-05-19;11;1.83
Bahrain;2020-05-19;total_deaths;39;2020-04-12;6;2020-05-19;12;2
Bangladesh;2020-05-19;total_deaths;15;2020-05-07;199;2020-05-19;370;1.86
Belarus;2020-05-19;total_deaths;20;2020-05-02;97;2020-05-19;175;1.8
Belgium;2020-05-19;total_deaths;36;2020-04-16;4857;2020-05-19;9108;1.88
Belize;2020-05-19;total_deaths;42;2020-04-09;1;2020-05-19;2;2
Benin;2020-05-19;total_deaths;23;2020-04-28;1;2020-05-19;2;2
Bermuda;2020-05-19;total_deaths;26;2020-04-26;5;2020-05-19;9;1.8
Bolivia;2020-05-19;total_deaths;15;2020-05-07;102;2020-05-19;189;1.85
Bosnia.and.Herzegovina;2020-05-19;total_deaths;20;2020-05-02;72;2020-05-19;133;1.85
Brazil;2020-05-19;total_deaths;14;2020-05-08;9897;2020-05-19;17971;1.82
Bulgaria;2020-05-19;total_deaths;23;2020-04-29;64;2020-05-19;116;1.81
Burkina.Faso;2020-05-19;total_deaths;39;2020-04-13;28;2020-05-19;52;1.86
Cameroon;2020-05-19;total_deaths;16;2020-05-05;64;2020-05-19;140;2.19
Canada;2020-05-19;total_deaths;22;2020-04-30;3184;2020-05-19;5912;1.86
Chad;2020-05-19;total_deaths;11;2020-05-11;31;2020-05-19;56;1.81
Chile;2020-05-19;total_deaths;16;2020-05-06;281;2020-05-19;509;1.81
China;2020-05-19;total_deaths;90;2020-02-22;2445;2020-05-19;4638;1.9
Colombia;2020-05-19;total_deaths;19;2020-05-03;340;2020-05-19;613;1.8
Congo;2020-05-19;total_deaths;24;2020-04-28;8;2020-05-19;15;1.88
Cote.d'Ivoire;2020-05-19;total_deaths;20;2020-05-02;15;2020-05-19;28;1.87
Croatia;2020-05-19;total_deaths;28;2020-04-24;51;2020-05-19;96;1.88
Cuba;2020-05-19;total_deaths;29;2020-04-23;43;2020-05-19;79;1.84
Cyprus;2020-05-19;total_deaths;44;2020-04-08;9;2020-05-19;17;1.89
Czech.Republic;2020-05-19;total_deaths;37;2020-04-15;166;2020-05-19;302;1.82
Democratic.Republic.of.Congo;2020-05-19;total_deaths;20;2020-05-02;33;2020-05-19;61;1.85
Denmark;2020-05-19;total_deaths;38;2020-04-14;299;2020-05-19;551;1.84
