"dia_ano","dias","otimista","casos_estimados","pessimista","x"
185,2020-07-03,683,730,777,728
186,2020-07-04,710,759,808,763
187,2020-07-05,739,790,841,795
188,2020-07-06,769,822,875,820
189,2020-07-07,800,855,910,851
190,2020-07-08,833,890,947,895
191,2020-07-09,867,926,985,931
192,2020-07-10,901,963,1025,978
193,2020-07-11,938,1002,1066,1016
194,2020-07-12,976,1043,1110,1045
195,2020-07-13,1015,1085,1155,1089
196,2020-07-14,1056,1128,1200,NA
197,2020-07-15,1099,1174,1249,NA
198,2020-07-16,1143,1221,1299,NA
199,2020-07-17,1190,1271,1352,NA
200,2020-07-18,1237,1322,1407,NA
201,2020-07-19,1287,1375,1463,NA
202,2020-07-20,1339,1431,1523,NA
203,2020-07-21,1393,1488,1583,NA
204,2020-07-22,1449,1548,1647,NA
205,2020-07-23,1508,1611,1714,NA
