location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-06-20;total_cases;23;2020-05-31;6219;2020-06-20;11263;1.81
AL;2020-06-20;total_cases;17;2020-06-06;14818;2020-06-20;27698;1.87
AM;2020-06-20;total_cases;27;2020-05-27;33508;2020-06-20;62902;1.88
AP;2020-06-20;total_cases;19;2020-06-04;11551;2020-06-20;21574;1.87
BA;2020-06-20;total_cases;19;2020-06-04;23463;2020-06-20;45304;1.93
CE;2020-06-20;total_cases;22;2020-06-01;50504;2020-06-20;92156;1.82
DF;2020-06-20;total_cases;15;2020-06-08;16629;2020-06-20;32238;1.94
ES;2020-06-20;total_cases;17;2020-06-06;18950;2020-06-20;34216;1.81
GO;2020-06-20;total_cases;9;2020-06-14;7944;2020-06-20;14880;1.87
MA;2020-06-20;total_cases;20;2020-06-03;38174;2020-06-20;69673;1.83
MG;2020-06-20;total_cases;17;2020-06-06;14939;2020-06-20;27305;1.83
MS;2020-06-20;total_cases;13;2020-06-10;2597;2020-06-20;4990;1.92
MT;2020-06-20;total_cases;13;2020-06-10;4602;2020-06-20;8962;1.95
PA;2020-06-20;total_cases;20;2020-06-03;44774;2020-06-20;82881;1.85
PB;2020-06-20;total_cases;17;2020-06-06;19787;2020-06-20;36521;1.85
PE;2020-06-20;total_cases;29;2020-05-25;28366;2020-06-20;51118;1.8
PI;2020-06-20;total_cases;15;2020-06-08;7621;2020-06-20;13813;1.81
PR;2020-06-20;total_cases;14;2020-06-09;7314;2020-06-20;13662;1.87
RJ;2020-06-20;total_cases;24;2020-05-30;52420;2020-06-20;95537;1.82
RN;2020-06-20;total_cases;15;2020-06-07;9452;2020-06-20;19206;2.03
RO;2020-06-20;total_cases;16;2020-06-07;8110;2020-06-20;14952;1.84
RR;2020-06-20;total_cases;20;2020-06-03;4143;2020-06-20;8037;1.94
RS;2020-06-20;total_cases;20;2020-06-03;10398;2020-06-20;19138;1.84
SC;2020-06-20;total_cases;22;2020-06-01;9498;2020-06-20;17108;1.8
SE;2020-06-20;total_cases;14;2020-06-09;10126;2020-06-20;18449;1.82
SP;2020-06-20;total_cases;21;2020-06-02;118295;2020-06-20;215793;1.82
TO;2020-06-20;total_cases;21;2020-06-02;4483;2020-06-20;8203;1.83
