"dia_ano","dias","otimista","casos_estimados","pessimista","x"
160,2020-06-08,473,504,535,507
161,2020-06-09,494,527,560,534
162,2020-06-10,518,552,586,559
163,2020-06-11,542,578,614,570
164,2020-06-12,567,604,641,610
165,2020-06-13,594,633,672,623
166,2020-06-14,621,662,703,633
167,2020-06-15,650,693,736,656
168,2020-06-16,680,725,770,NA
169,2020-06-17,712,759,806,NA
170,2020-06-18,745,794,843,NA
171,2020-06-19,779,831,883,NA
172,2020-06-20,816,870,924,NA
173,2020-06-21,855,911,967,NA
174,2020-06-22,894,953,1012,NA
