"dia_ano","dias","otimista","casos_estimados","pessimista","x"
161,2020-06-09,508,533,558,534
162,2020-06-10,526,552,578,559
163,2020-06-11,545,572,599,570
164,2020-06-12,564,592,620,610
165,2020-06-13,583,612,641,623
166,2020-06-14,602,631,660,633
167,2020-06-15,621,651,681,656
168,2020-06-16,640,671,702,671
169,2020-06-17,658,690,722,696
170,2020-06-18,677,710,743,709
171,2020-06-19,695,729,763,724
172,2020-06-20,713,748,783,NA
173,2020-06-21,731,767,803,NA
174,2020-06-22,749,786,823,NA
175,2020-06-23,767,804,841,NA
176,2020-06-24,784,822,860,NA
177,2020-06-25,801,840,879,NA
178,2020-06-26,817,857,897,NA
179,2020-06-27,832,873,914,NA
180,2020-06-28,849,890,931,NA
181,2020-06-29,864,906,948,NA
