location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
Afghanistan;2020-05-23;total_cases;12;2020-05-14;5339;2020-05-23;9998;1.87
Albania;2020-05-23;total_cases;38;2020-04-18;548;2020-05-23;989;1.8
Algeria;2020-05-23;total_cases;23;2020-05-03;4474;2020-05-23;8113;1.81
Andorra;2020-05-23;total_cases;55;2020-04-01;390;2020-05-23;762;1.95
Angola;2020-05-23;total_cases;24;2020-05-01;29;2020-05-23;60;2.07
Argentina;2020-05-23;total_cases;15;2020-05-11;6021;2020-05-23;11340;1.88
Armenia;2020-05-23;total_cases;15;2020-05-11;3392;2020-05-23;6302;1.86
Aruba;2020-05-23;total_cases;55;2020-04-01;55;2020-05-23;101;1.84
Australia;2020-05-23;total_cases;59;2020-03-28;3809;2020-05-23;7106;1.87
Austria;2020-05-23;total_cases;58;2020-03-29;8813;2020-05-23;16407;1.86
Azerbaijan;2020-05-23;total_cases;19;2020-05-07;2204;2020-05-23;3982;1.81
Bahamas;2020-05-23;total_cases;39;2020-04-17;55;2020-05-23;100;1.82
Bahrain;2020-05-23;total_cases;17;2020-05-09;4774;2020-05-23;8802;1.84
Bangladesh;2020-05-23;total_cases;14;2020-05-12;16660;2020-05-23;32078;1.93
Barbados;2020-05-23;total_cases;52;2020-04-04;51;2020-05-23;92;1.8
Belarus;2020-05-23;total_cases;20;2020-05-06;19255;2020-05-23;35244;1.83
Belgium;2020-05-23;total_cases;42;2020-04-14;31119;2020-05-23;56810;1.83
Belize;2020-05-23;total_cases;46;2020-04-10;10;2020-05-23;18;1.8
Benin;2020-05-23;total_cases;27;2020-04-29;69;2020-05-23;135;1.96
Bhutan;2020-05-23;total_cases;13;2020-05-12;11;2020-05-23;24;2.18
Bolivia;2020-05-23;total_cases;13;2020-05-13;3148;2020-05-23;5915;1.88
Bonaire.Sint.Eustatius.and.Saba;2020-05-23;total_cases;43;2020-04-12;3;2020-05-23;6;2
Bosnia.and.Herzegovina;2020-05-23;total_cases;36;2020-04-20;1300;2020-05-23;2391;1.84
Botswana;2020-05-23;total_cases;37;2020-04-18;15;2020-05-23;30;2
Brazil;2020-05-23;total_cases;13;2020-05-13;188974;2020-05-23;347398;1.84
British.Virgin.Islands;2020-05-23;total_cases;36;2020-04-19;4;2020-05-23;8;2
Brunei;2020-05-23;total_cases;67;2020-03-20;78;2020-05-23;141;1.81
Bulgaria;2020-05-23;total_cases;30;2020-04-26;1300;2020-05-23;2408;1.85
Burkina.Faso;2020-05-23;total_cases;46;2020-04-10;448;2020-05-23;814;1.82
Cameroon;2020-05-23;total_cases;16;2020-05-09;2274;2020-05-23;4597;2.02
Canada;2020-05-23;total_cases;31;2020-04-25;45341;2020-05-23;83610;1.84
Cape.Verde;2020-05-23;total_cases;20;2020-05-06;191;2020-05-23;371;1.94
Cayman.Islands;2020-05-23;total_cases;28;2020-04-28;70;2020-05-23;129;1.84
Central.African.Republic;2020-05-23;total_cases;11;2020-05-15;301;2020-05-23;552;1.83
Chad;2020-05-23;total_cases;14;2020-05-12;357;2020-05-23;648;1.82
Chile;2020-05-23;total_cases;13;2020-05-13;34381;2020-05-23;65393;1.9
China;2020-05-23;total_cases;105;2020-02-11;44724;2020-05-23;84084;1.88
Colombia;2020-05-23;total_cases;16;2020-05-10;11063;2020-05-23;20177;1.82
Congo;2020-05-23;total_cases;20;2020-05-06;264;2020-05-23;487;1.84
Costa.Rica;2020-05-23;total_cases;48;2020-04-08;502;2020-05-23;918;1.83
Cote.d'Ivoire;2020-05-23;total_cases;26;2020-04-30;1275;2020-05-23;2366;1.86
Croatia;2020-05-23;total_cases;50;2020-04-06;1222;2020-05-23;2243;1.84
Cuba;2020-05-23;total_cases;37;2020-04-19;1035;2020-05-23;1931;1.87
Curacao;2020-05-23;total_cases;57;2020-03-28;8;2020-05-23;16;2
Cyprus;2020-05-23;total_cases;49;2020-04-07;494;2020-05-23;927;1.88
Czech.Republic;2020-05-23;total_cases;50;2020-04-06;4822;2020-05-23;8890;1.84
Democratic.Republic.of.Congo;2020-05-23;total_cases;14;2020-05-12;1169;2020-05-23;2141;1.83
Denmark;2020-05-23;total_cases;44;2020-04-12;6174;2020-05-23;11289;1.83
Djibouti;2020-05-23;total_cases;14;2020-05-12;1256;2020-05-23;2270;1.81
Dominican.Republic;2020-05-23;total_cases;23;2020-05-03;7954;2020-05-23;14422;1.81
Egypt;2020-05-23;total_cases;17;2020-05-09;8964;2020-05-23;16613;1.85
El.Salvador;2020-05-23;total_cases;15;2020-05-11;998;2020-05-23;1819;1.82
Equatorial.Guinea;2020-05-23;total_cases;13;2020-05-13;522;2020-05-23;1043;2
