"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
142,2020-05-21,10113,11031,11949,11941
143,2020-05-22,10768,11745,12722,12557
144,2020-05-23,11464,12505,13546,13000
145,2020-05-24,12207,13315,14423,13899
146,2020-05-25,12997,14177,15357,14204
147,2020-05-26,13838,15094,16350,14566
148,2020-05-27,14734,16071,17408,15070
149,2020-05-28,15687,17111,18535,15963
150,2020-05-29,16703,18219,19735,NA
151,2020-05-30,17784,19398,21012,NA
152,2020-05-31,18934,20653,22372,NA
153,2020-06-01,20160,21990,23820,NA
154,2020-06-02,21466,23414,25362,NA
155,2020-06-03,22854,24929,27004,NA
156,2020-06-04,24333,26542,28751,NA
