location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-09-02;total_cases;66;2020-07-01;13715;2020-09-02;25027;1.82
AL;2020-09-02;total_cases;57;2020-07-10;43959;2020-09-02;79550;1.81
AM;2020-09-02;total_cases;72;2020-06-25;67267;2020-09-02;121793;1.81
AP;2020-09-02;total_cases;75;2020-06-21;21840;2020-09-02;43800;2.01
BA;2020-09-02;total_cases;43;2020-07-24;142767;2020-09-02;262299;1.84
CE;2020-09-02;total_cases;63;2020-07-04;120952;2020-09-02;218396;1.81
DF;2020-09-02;total_cases;44;2020-07-23;90023;2020-09-02;164649;1.83
ES;2020-09-02;total_cases;56;2020-07-11;62236;2020-09-02;112825;1.81
GO;2020-09-02;total_cases;31;2020-08-05;76605;2020-09-02;138408;1.81
MA;2020-09-02;total_cases;66;2020-07-01;83256;2020-09-02;154468;1.86
MG;2020-09-02;total_cases;38;2020-07-29;119394;2020-09-02;222048;1.86
MS;2020-09-02;total_cases;32;2020-08-04;27678;2020-09-02;50645;1.83
MT;2020-09-02;total_cases;36;2020-07-31;51865;2020-09-02;94302;1.82
PA;2020-09-02;total_cases;64;2020-07-03;110411;2020-09-02;202436;1.83
PB;2020-09-02;total_cases;57;2020-07-10;59118;2020-09-02;107384;1.82
PE;2020-09-02;total_cases;56;2020-07-11;71370;2020-09-02;128724;1.8
PI;2020-09-02;total_cases;44;2020-07-23;43179;2020-09-02;78922;1.83
PR;2020-09-02;total_cases;37;2020-07-30;73488;2020-09-02;135609;1.85
RJ;2020-09-02;total_cases;59;2020-07-08;126329;2020-09-02;228332;1.81
RN;2020-09-02;total_cases;62;2020-07-05;34645;2020-09-02;62432;1.8
RO;2020-09-02;total_cases;46;2020-07-21;30642;2020-09-02;56411;1.84
RR;2020-09-02;total_cases;51;2020-07-16;24397;2020-09-02;44036;1.8
RS;2020-09-02;total_cases;33;2020-08-03;71479;2020-09-02;131461;1.84
SC;2020-09-02;total_cases;30;2020-08-06;98634;2020-09-02;182522;1.85
SE;2020-09-02;total_cases;52;2020-07-15;40139;2020-09-02;72931;1.82
SP;2020-09-02;total_cases;44;2020-07-23;452007;2020-09-02;826331;1.83
TO;2020-09-02;total_cases;31;2020-08-05;28312;2020-09-02;52124;1.84
