"dia_ano","dias","otimista","casos_estimados","pessimista","x"
152,2020-05-31,2247,2721,3195,2807
153,2020-06-01,2356,2853,3350,2875
154,2020-06-02,2471,2993,3515,2933
155,2020-06-03,2592,3139,3686,3012
156,2020-06-04,2718,3292,3866,3134
157,2020-06-05,2850,3452,4054,3205
158,2020-06-06,2990,3621,4252,3270
159,2020-06-07,3136,3798,4460,3350
160,2020-06-08,3289,3983,4677,NA
161,2020-06-09,3449,4177,4905,NA
162,2020-06-10,3618,4381,5144,NA
163,2020-06-11,3794,4595,5396,NA
164,2020-06-12,3979,4819,5659,NA
165,2020-06-13,4174,5055,5936,NA
166,2020-06-14,4377,5301,6225,NA
