"dia_ano","dias","otimista","casos_estimados","pessimista","x"
113,2020-04-22,14877,17072,19267,15914
114,2020-04-23,15772,18099,20426,16740
115,2020-04-24,16674,19134,21594,17826
116,2020-04-25,17577,20171,22765,20004
117,2020-04-26,18477,21204,23931,20715
118,2020-04-27,19369,22227,25085,21696
119,2020-04-28,20246,23234,26222,24041
120,2020-04-29,21106,24221,27336,26158
121,2020-04-30,21945,25183,28421,NA
122,2020-05-01,22757,26115,29473,NA
123,2020-05-02,23540,27014,30488,NA
124,2020-05-03,24292,27877,31462,NA
125,2020-05-04,25010,28701,32392,NA
126,2020-05-05,25693,29484,33275,NA
127,2020-05-06,26338,30225,34112,NA
