"dia_ano","dias","otimista","casos_estimados","pessimista","x"
142,2020-05-21,181,194,207,191
143,2020-05-22,187,201,215,201
144,2020-05-23,195,209,223,217
145,2020-05-24,202,217,232,226
146,2020-05-25,210,225,240,230
147,2020-05-26,217,233,249,234
148,2020-05-27,225,241,257,240
149,2020-05-28,232,249,266,255
150,2020-05-29,239,257,275,NA
151,2020-05-30,248,266,284,NA
152,2020-05-31,255,274,293,NA
153,2020-06-01,263,282,301,NA
154,2020-06-02,270,290,310,NA
155,2020-06-03,278,298,318,NA
156,2020-06-04,285,306,327,NA
