"data","boletim","METROPOLITANA","METROPOLITANA","METROPOLITANA","METROPOLITANA","METROPOLITANA","METROPOLITANA","METROPOLITANA","METROPOLITANA","METROPOLITANA"
"22/03/2020","24","CENTRAL","CENTRAL","CENTRAL","CENTRAL","CENTRAL","CENTRAL","CENTRAL","CENTRAL","CENTRAL"
"22/03/2020","24","Munic<U+00ED>pio de resid<U+00EA>ncia","Munic<U+00ED>pio de resid<U+00EA>ncia","Caso confirmado","Caso confirmado","Caso descartado","Caso descartado","Caso suspeito","Caso suspeito","Total"
"22/03/2020","24","Aracruz","Aracruz","0","0","4","4","0","0","4"
"22/03/2020","24","Colatina","Colatina","0","0","5","5","11","11","16"
"22/03/2020","24","Ibira<U+00E7>u","Ibira<U+00E7>u","0","0","0","0","1","1","1"
"22/03/2020","24","Joao Neiva","Joao Neiva","0","0","0","0","1","1","1"
"22/03/2020","24","Linhares","Linhares","2","2","23","23","27","27","52"
"22/03/2020","24","Maril<U+00E2>ndia","Maril<U+00E2>ndia","0","0","0","0","3","3","3"
"22/03/2020","24","Rio Bananal","Rio Bananal","0","0","0","0","1","1","1"
"22/03/2020","24","S<U+00E3>o Domingos do Norte","S<U+00E3>o Domingos do Norte","0","0","0","0","1","1","1"
"22/03/2020","24","S<U+00E3>o Gabriel da Palha","S<U+00E3>o Gabriel da Palha","0","0","1","1","0","0","1"
"22/03/2020","24","Total","Total","2","2","33","33","45","45","80"
"22/03/2020","24","","","","","","","","",""
"22/03/2020","24","Total Geral","Total Geral","26","26","252","252","696","696","974"
"22/03/2020","24","","","","","","","","",""
