"data","boletim","Municipio_deResidencia","Casoconfirmado","CasoDescartado","Casosuspeito","Total"
"01/04/2020","34","Afonso Cláudio","1","3","1","5"
"01/04/2020","34","Água Doce do Norte","0","1","0","1"
"01/04/2020","34","Alegre","0","2","0","2"
"01/04/2020","34","Alfredo Chaves","0","6","0","6"
"01/04/2020","34","Anchieta","0","3","0","3"
"01/04/2020","34","Apiacá","0","0","12","12"
"01/04/2020","34","Aracruz","1","10","11","22"
"01/04/2020","34","Atílio Vivácqua","0","3","0","3"
"01/04/2020","34","Barra de São Francisco","0","3","1","4"
"01/04/2020","34","Boa Esperança","0","1","0","1"
"01/04/2020","34","Bom Jesus do Norte","0","0","11","11"
"01/04/2020","34","Cachoeiro de Itapemirim","1","26","10","37"
"01/04/2020","34","Cariacica","7","107","37","151"
"01/04/2020","34","Castelo","2","8","1","11"
"01/04/2020","34","Colatina","0","18","4","22"
"01/04/2020","34","Conceição da Barra","0","0","1","1"
"01/04/2020","34","Divino de São Lourenço","0","1","0","1"
"01/04/2020","34","Domingos Martins","0","9","2","11"
"01/04/2020","34","Dores do Rio Preto","0","1","0","1"
"01/04/2020","34","Fundão","0","0","16","16"
"01/04/2020","34","Governador Lindenberg","0","1","0","1"
"01/04/2020","34","Guaçuí","0","4","2","6"
"01/04/2020","34","Guarapari","2","20","1","23"
"01/04/2020","34","Ibiraçu","0","0","1","1"
"01/04/2020","34","Iconha","0","5","1","6"
"01/04/2020","34","Itaguaçu","0","1","0","1"
"01/04/2020","34","Itapemirim","1","3","0","4"
"01/04/2020","34","Itarana","0","2","0","2"
"01/04/2020","34","Jaguaré","0","2","1","3"
"01/04/2020","34","Jerônimo Monteiro","0","1","3","4"
"01/04/2020","34","João Neiva","0","1","1","2"
"01/04/2020","34","Laranja da Terra","0","1","0","1"
"01/04/2020","34","Linhares","7","65","84","156"
"01/04/2020","34","Mantenópolis","0","1","0","1"
"01/04/2020","34","Marataízes","0","4","2","6"
"01/04/2020","34","Marechal Floriano","0","3","0","3"
"01/04/2020","34","Marilândia","0","0","5","5"
"01/04/2020","34","Mimoso do Sul","0","6","0","6"
"01/04/2020","34","Montanha","0","0","2","2"
"01/04/2020","34","Mucurici","0","0","1","1"
"01/04/2020","34","Muniz Freire","0","2","0","2"
"01/04/2020","34","Muqui","0","1","0","1"
"01/04/2020","34","Nova Venécia","0","6","0","6"
"01/04/2020","34","Pancas","0","1","0","1"
"01/04/2020","34","Pedro Canário","0","3","1","4"
"01/04/2020","34","Pinheiros","0","8","0","8"
"01/04/2020","34","Piúma","0","9","6","15"
"01/04/2020","34","Ponto Belo","0","1","0","1"
"01/04/2020","34","Rio Bananal","0","4","0","4"
"01/04/2020","34","Rio Novo do Sul","0","1","1","2"
"01/04/2020","34","Santa Maria de Jetibá","0","6","0","6"
"01/04/2020","34","Santa Teresa","1","2","0","3"
"01/04/2020","34","São Gabriel da Palha","0","1","1","2"
"01/04/2020","34","São José do Calçado","0","1","0","1"
"01/04/2020","34","São Mateus","3","12","6","21"
"01/04/2020","34","São Roque do Canaã","1","1","1","3"
"01/04/2020","34","Serra","22","138","222","382"
"01/04/2020","34","Sooretama","0","2","3","5"
"01/04/2020","34","Vargem Alta","0","2","0","2"
"01/04/2020","34","Venda Nova do Imigrante","0","5","0","5"
"01/04/2020","34","Viana","1","13","33","47"
"01/04/2020","34","Vila Pavão","0","1","0","1"
"01/04/2020","34","Vila Velha","36","290","115","441"
"01/04/2020","34","Vitória","34","197","74","305"
"01/04/2020","34","Total","120","1.029","674","1.823"
