"dia_ano","dias","otimista","casos_estimados","pessimista","x"
127,2020-05-06,1154,1264,1374,1205
128,2020-05-07,1241,1360,1479,1394
129,2020-05-08,1336,1464,1592,1503
130,2020-05-09,1438,1575,1712,1653
131,2020-05-10,1547,1695,1843,1714
132,2020-05-11,1665,1824,1983,1770
133,2020-05-12,1792,1963,2134,1928
134,2020-05-13,1929,2113,2297,2050
135,2020-05-14,2075,2273,2471,NA
136,2020-05-15,2233,2446,2659,NA
137,2020-05-16,2403,2633,2863,NA
138,2020-05-17,2586,2833,3080,NA
139,2020-05-18,2783,3049,3315,NA
140,2020-05-19,2995,3281,3567,NA
141,2020-05-20,3223,3531,3839,NA
