location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-07-02;total_cases;29;2020-06-06;7525;2020-07-02;14048;1.87
AL;2020-07-02;total_cases;23;2020-06-12;20031;2020-07-02;37328;1.86
AM;2020-07-02;total_cases;36;2020-05-30;40560;2020-07-02;73530;1.81
AP;2020-07-02;total_cases;23;2020-06-12;15683;2020-07-02;29153;1.86
BA;2020-07-02;total_cases;16;2020-06-19;43922;2020-07-02;79349;1.81
CE;2020-07-02;total_cases;29;2020-06-06;63575;2020-07-02;115524;1.82
DF;2020-07-02;total_cases;17;2020-06-18;28521;2020-07-02;52281;1.83
ES;2020-07-02;total_cases;20;2020-06-15;27581;2020-07-02;50240;1.82
GO;2020-07-02;total_cases;16;2020-06-19;14027;2020-07-02;26263;1.87
MA;2020-07-02;total_cases;28;2020-06-07;47593;2020-07-02;86025;1.81
MG;2020-07-02;total_cases;14;2020-06-21;27641;2020-07-02;50707;1.83
MS;2020-07-02;total_cases;15;2020-06-20;4990;2020-07-02;9062;1.82
MT;2020-07-02;total_cases;14;2020-06-21;9470;2020-07-02;17727;1.87
PA;2020-07-02;total_cases;26;2020-06-09;59148;2020-07-02;108067;1.83
PB;2020-07-02;total_cases;22;2020-06-13;27454;2020-07-02;49536;1.8
PE;2020-07-02;total_cases;36;2020-05-30;33427;2020-07-02;61119;1.83
PI;2020-07-02;total_cases;16;2020-06-19;12567;2020-07-02;23307;1.85
PR;2020-07-02;total_cases;14;2020-06-21;14501;2020-07-02;26304;1.81
RJ;2020-07-02;total_cases;29;2020-06-06;64533;2020-07-02;116823;1.81
RN;2020-07-02;total_cases;15;2020-06-19;16039;2020-07-02;32897;2.05
RO;2020-07-02;total_cases;20;2020-06-15;12180;2020-07-02;21970;1.8
RR;2020-07-02;total_cases;12;2020-06-22;8188;2020-07-02;17583;2.15
RS;2020-07-02;total_cases;20;2020-06-15;15438;2020-07-02;29195;1.89
SC;2020-07-02;total_cases;17;2020-06-18;15573;2020-07-02;28575;1.83
SE;2020-07-02;total_cases;21;2020-06-14;13968;2020-07-02;26612;1.91
SP;2020-07-02;total_cases;24;2020-06-11;162520;2020-07-02;302179;1.86
TO;2020-07-02;total_cases;25;2020-06-10;6257;2020-07-02;11454;1.83
