location;data;variavel;diasDuplicar;estimado;ultimosCasos;dataUltimosCasos;primeirosCasos;dataPrimeirosCasos
Afghanistan;2020-03-27;total_deaths;3;2;2;2020-03-27;1;2020-03-26
Afghanistan;2020-03-29;total_deaths;4;2;4;2020-03-29;2;2020-03-27
Afghanistan;2020-03-30;total_deaths;5;2;4;2020-03-30;2;2020-03-27
Afghanistan;2020-03-31;total_deaths;6;2;4;2020-03-31;2;2020-03-27
Afghanistan;2020-04-01;total_deaths;7;2;4;2020-04-01;2;2020-03-27
Afghanistan;2020-04-02;total_deaths;8;2;4;2020-04-02;2;2020-03-27
Afghanistan;2020-04-03;total_deaths;9;2;4;2020-04-03;2;2020-03-27
Afghanistan;2020-04-08;total_deaths;4;2;14;2020-04-08;7;2020-04-06
Afghanistan;2020-04-13;total_deaths;9;1.91;21;2020-04-13;11;2020-04-07
Afghanistan;2020-04-14;total_deaths;9;2.09;23;2020-04-14;11;2020-04-07
Afghanistan;2020-04-16;total_deaths;9;1.93;29;2020-04-16;15;2020-04-10
Afghanistan;2020-04-17;total_deaths;9;2;30;2020-04-17;15;2020-04-10
Afghanistan;2020-04-18;total_deaths;10;2;30;2020-04-18;15;2020-04-10
Afghanistan;2020-04-20;total_deaths;11;1.94;35;2020-04-20;18;2020-04-12
Afghanistan;2020-04-21;total_deaths;11;2;36;2020-04-21;18;2020-04-12
Afghanistan;2020-04-22;total_deaths;12;1.9;40;2020-04-22;21;2020-04-13
Afghanistan;2020-04-23;total_deaths;12;2;42;2020-04-23;21;2020-04-13
Afghanistan;2020-04-24;total_deaths;13;2.05;43;2020-04-24;21;2020-04-13
Afghanistan;2020-04-25;total_deaths;13;2.04;47;2020-04-25;23;2020-04-14
Afghanistan;2020-04-26;total_deaths;13;1.97;57;2020-04-26;29;2020-04-16
Afghanistan;2020-04-27;total_deaths;14;1.97;57;2020-04-27;29;2020-04-16
Afghanistan;2020-04-28;total_deaths;12;2;60;2020-04-28;30;2020-04-18
Afghanistan;2020-04-29;total_deaths;13;2;60;2020-04-29;30;2020-04-18
Afghanistan;2020-04-30;total_deaths;14;1.94;64;2020-04-30;33;2020-04-19
Afghanistan;2020-05-01;total_deaths;14;1.94;68;2020-05-01;35;2020-04-20
Afghanistan;2020-05-02;total_deaths;13;2;72;2020-05-02;36;2020-04-21
Afghanistan;2020-05-03;total_deaths;12;1.98;85;2020-05-03;43;2020-04-24
Afghanistan;2020-05-04;total_deaths;12;1.91;90;2020-05-04;47;2020-04-25
Afghanistan;2020-05-05;total_deaths;12;2.02;95;2020-05-05;47;2020-04-25
Afghanistan;2020-05-08;total_deaths;14;1.91;109;2020-05-08;57;2020-04-27
Afghanistan;2020-05-09;total_deaths;13;1.92;115;2020-05-09;60;2020-04-29
Afghanistan;2020-05-10;total_deaths;13;2;120;2020-05-10;60;2020-04-29
Afghanistan;2020-05-11;total_deaths;14;1.91;122;2020-05-11;64;2020-04-30
Afghanistan;2020-05-12;total_deaths;15;1.98;127;2020-05-12;64;2020-04-30
Afghanistan;2020-05-13;total_deaths;15;1.91;130;2020-05-13;68;2020-05-01
Afghanistan;2020-05-14;total_deaths;15;2;136;2020-05-14;68;2020-05-01
