"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,965,472,718,791,645,2
2020-03-03,1041,519,780,859,701,2
2020-03-04,1122,570,846,932,760,3
2020-03-05,1210,626,918,1011,825,8
2020-03-06,1305,687,996,1097,895,13
2020-03-07,1407,754,1080,1189,971,13
2020-03-08,1517,828,1172,1291,1053,25
2020-03-09,1636,909,1272,1401,1143,25
2020-03-10,1764,999,1382,1522,1242,34
2020-03-11,1902,1096,1499,1651,1347,52
2020-03-12,2051,1204,1628,1793,1463,77
2020-03-13,2212,1321,1766,1945,1587,98
2020-03-14,2385,1451,1918,2112,1724,121
2020-03-15,2572,1592,2082,2293,1871,200
2020-03-16,2774,1748,2261,2490,2032,234
2020-03-17,2991,1919,2455,2703,2207,291
2020-03-18,3225,2106,2666,2936,2396,428
2020-03-19,3478,2311,2894,3187,2601,621
2020-03-20,3750,2537,3144,3462,2826,904
2020-03-21,4044,2783,3414,3759,3069,1128
2020-03-22,4360,3054,3707,4082,3332,1546
2020-03-23,4702,3351,4026,4433,3619,1891
2020-03-24,5070,3676,4373,4815,3931,2201
2020-03-25,5467,4032,4750,5230,4270,2433
2020-03-26,5895,4423,5159,5681,4637,2915
2020-03-27,6357,4850,5604,6171,5037,3417
2020-03-28,6855,5318,6086,6702,5470,3904
2020-03-29,7392,5830,6611,7280,5942,4256
2020-03-30,7971,6390,7180,7906,6454,4579
2020-03-31,8595,7003,7799,8588,7010,5717
2020-04-01,9268,7673,8470,9327,7613,6836
2020-04-02,9994,8405,9200,10130,8270,7910
2020-04-03,10777,9205,9991,11001,8981,9056
2020-04-04,11621,10078,10850,11947,9753,10278
2020-04-05,12531,11031,11781,12972,10590,11130
2020-04-06,13512,12069,12790,14084,11496,12056
2020-04-07,14570,13201,13886,15290,12482,13717
2020-04-08,15712,14433,15072,16596,13548,15927
2020-04-09,16942,15773,16358,18012,14704,17857
2020-04-10,18269,17230,17750,19545,15955,19638
2020-04-11,19700,18813,19256,21203,17309,20727
2020-04-12,21243,20529,20886,22998,18774,22169
2020-04-13,22906,22389,22648,24939,20357,23430
2020-04-14,24700,24402,24551,27034,22068,25262
2020-04-15,26635,26577,26606,29297,23915,28320
2020-04-16,28721,28926,28824,31739,25909,30425
2020-04-17,30970,31456,31213,34370,28056,33682
2020-04-18,33396,34178,33787,37204,30370,36599
2020-04-19,36011,37101,36556,40253,32859,38654
2020-04-20,38831,40235,39533,43531,35535,40581
2020-04-21,41873,43586,42730,47052,38408,43079
2020-04-22,45152,47163,46158,50826,41490,45757
2020-04-23,48688,50972,49830,54870,44790,49492
2020-04-24,52501,55017,53759,59196,48322,52995
2020-04-25,56613,59302,57958,63820,52096,58509
2020-04-26,61047,63828,62438,68753,56123,61888
2020-04-27,65828,68595,67212,74010,60414,66501
2020-04-28,70984,73600,72292,79603,64981,71886
2020-04-29,76543,78837,77690,85547,69833,78162
2020-04-30,82538,84299,83418,91855,74981,85380
2020-05-01,89002,89974,89488,98539,80437,91589
2020-05-02,95972,95849,95910,105610,86210,96559
2020-05-03,103489,101908,102698,113085,92311,101147
2020-05-04,111594,108132,109863,120974,98752,107780
2020-05-05,120333,114498,117416,129291,105541,115953
2020-05-06,129758,120984,125371,138051,112691,NA
2020-05-07,139920,127563,133742,147268,120216,NA
2020-05-08,150878,134207,142542,156958,128126,NA
2020-05-09,162695,140889,151792,167144,136440,NA
2020-05-10,175437,147579,161508,177842,145174,NA
2020-05-11,189177,154248,171712,189078,154346,NA
2020-05-12,203993,160866,182430,200880,163980,NA
