"dia_ano","dias","otimista","casos_estimados","pessimista","x"
138,2020-05-17,282,295,308,285
139,2020-05-18,299,313,327,302
140,2020-05-19,318,332,346,325
141,2020-05-20,337,352,367,341
142,2020-05-21,356,372,388,363
143,2020-05-22,375,392,409,397
144,2020-05-23,394,412,430,417
145,2020-05-24,413,432,451,446
146,2020-05-25,432,452,472,NA
147,2020-05-26,451,472,493,NA
148,2020-05-27,472,493,514,NA
149,2020-05-28,490,512,534,NA
150,2020-05-29,509,532,555,NA
151,2020-05-30,527,551,575,NA
152,2020-05-31,544,569,594,NA
