"dia_ano","dias","otimista","casos_estimados","pessimista","x"
91,2020-03-31,139,158,177,164
92,2020-04-01,163,185,207,188
93,2020-04-02,191,216,241,219
94,2020-04-03,221,250,279,260
95,2020-04-04,254,288,322,275
96,2020-04-05,289,328,367,304
97,2020-04-06,327,370,413,371
98,2020-04-07,365,414,463,428
99,2020-04-08,405,459,513,NA
100,2020-04-09,444,503,562,NA
101,2020-04-10,482,546,610,NA
102,2020-04-11,519,588,657,NA
103,2020-04-12,553,627,701,NA
104,2020-04-13,585,663,741,NA
105,2020-04-14,614,696,778,NA
