location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
Afghanistan;2020-06-02;total_deaths;22;2020-05-14;136;2020-06-02;270;1.99
Albania;2020-06-02;total_deaths;63;2020-04-03;17;2020-06-02;33;1.94
Algeria;2020-06-02;total_deaths;48;2020-04-18;367;2020-06-02;667;1.82
Andorra;2020-06-02;total_deaths;55;2020-04-11;28;2020-06-02;51;1.82
Angola;2020-06-02;total_deaths;16;2020-05-19;2;2020-06-02;4;2
Argentina;2020-06-02;total_deaths;25;2020-05-11;305;2020-06-02;569;1.87
Armenia;2020-06-02;total_deaths;11;2020-05-25;87;2020-06-02;158;1.82
Australia;2020-06-02;total_deaths;56;2020-04-10;54;2020-06-02;102;1.89
Austria;2020-06-02;total_deaths;53;2020-04-13;368;2020-06-02;669;1.82
Azerbaijan;2020-06-02;total_deaths;19;2020-05-17;39;2020-06-02;71;1.82
Bahamas;2020-06-02;total_deaths;59;2020-04-07;6;2020-06-02;11;1.83
Bahrain;2020-06-02;total_deaths;22;2020-05-14;10;2020-06-02;19;1.9
Bangladesh;2020-06-02;total_deaths;16;2020-05-20;386;2020-06-02;709;1.84
Belarus;2020-06-02;total_deaths;25;2020-05-11;135;2020-06-02;243;1.8
Belgium;2020-06-02;total_deaths;49;2020-04-17;5163;2020-06-02;9505;1.84
Belize;2020-06-02;total_deaths;56;2020-04-09;1;2020-06-02;2;2
Bermuda;2020-06-02;total_deaths;40;2020-04-26;5;2020-06-02;9;1.8
Bolivia;2020-06-02;total_deaths;16;2020-05-20;199;2020-06-02;376;1.89
Bosnia.and.Herzegovina;2020-06-02;total_deaths;30;2020-05-06;86;2020-06-02;156;1.81
Brazil;2020-06-02;total_deaths;18;2020-05-18;16792;2020-06-02;31199;1.86
Brunei;2020-06-02;total_deaths;9;2020-05-26;1;2020-06-02;2;2
Bulgaria;2020-06-02;total_deaths;31;2020-05-05;78;2020-06-02;144;1.85
Burkina.Faso;2020-06-02;total_deaths;53;2020-04-13;28;2020-06-02;53;1.89
Cameroon;2020-06-02;total_deaths;27;2020-05-09;108;2020-06-02;200;1.85
Canada;2020-06-02;total_deaths;31;2020-05-05;4043;2020-06-02;7395;1.83
Central.African.Republic;2020-06-02;total_deaths;4;2020-05-31;2;2020-06-02;4;2
Chad;2020-06-02;total_deaths;24;2020-05-11;31;2020-06-02;66;2.13
Chile;2020-06-02;total_deaths;14;2020-05-22;630;2020-06-02;1188;1.89
China;2020-06-02;total_deaths;104;2020-02-22;2445;2020-06-02;4645;1.9
Colombia;2020-06-02;total_deaths;21;2020-05-15;546;2020-06-02;1009;1.85
