location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-07-30;total_cases;45;2020-06-18;10664;2020-07-30;19573;1.84
AL;2020-07-30;total_cases;38;2020-06-25;32065;2020-07-30;58979;1.84
AM;2020-07-30;total_cases;51;2020-06-12;55111;2020-07-30;100140;1.82
AP;2020-07-30;total_cases;44;2020-06-19;19922;2020-07-30;36272;1.82
BA;2020-07-30;total_cases;27;2020-07-06;88279;2020-07-30;161630;1.83
CE;2020-07-30;total_cases;41;2020-06-22;94158;2020-07-30;171468;1.82
DF;2020-07-30;total_cases;28;2020-07-05;57854;2020-07-30;104442;1.81
ES;2020-07-30;total_cases;34;2020-06-29;45097;2020-07-30;81885;1.82
GO;2020-07-30;total_cases;21;2020-07-12;36244;2020-07-30;65269;1.8
MA;2020-07-30;total_cases;45;2020-06-18;66091;2020-07-30;119262;1.8
MG;2020-07-30;total_cases;24;2020-07-09;66864;2020-07-30;123415;1.85
MS;2020-07-30;total_cases;20;2020-07-13;13461;2020-07-30;24287;1.8
MT;2020-07-30;total_cases;22;2020-07-11;27636;2020-07-30;50447;1.83
PA;2020-07-30;total_cases;42;2020-06-21;84654;2020-07-30;153350;1.81
PB;2020-07-30;total_cases;34;2020-06-29;45057;2020-07-30;81108;1.8
PE;2020-07-30;total_cases;43;2020-06-20;51118;2020-07-30;93373;1.83
PI;2020-07-30;total_cases;26;2020-07-07;27514;2020-07-30;50198;1.82
PR;2020-07-30;total_cases;22;2020-07-11;40797;2020-07-30;73488;1.8
RJ;2020-07-30;total_cases;45;2020-06-18;87317;2020-07-30;163642;1.87
RN;2020-07-30;total_cases;34;2020-06-28;24456;2020-07-30;49667;2.03
RO;2020-07-30;total_cases;33;2020-06-30;21251;2020-07-30;38407;1.81
RR;2020-07-30;total_cases;31;2020-07-01;15153;2020-07-30;31455;2.08
RS;2020-07-30;total_cases;24;2020-07-09;36434;2020-07-30;66473;1.82
SC;2020-07-30;total_cases;20;2020-07-13;43815;2020-07-30;80904;1.85
SE;2020-07-30;total_cases;26;2020-07-07;31640;2020-07-30;57684;1.82
SP;2020-07-30;total_cases;32;2020-07-01;289935;2020-07-30;529006;1.82
TO;2020-07-30;total_cases;25;2020-07-08;13440;2020-07-30;24278;1.81
