"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,103804,46483,75144,85598,64690,90865
2020-03-03,111322,51806,81564,92911,70217,93077
2020-03-04,119385,57727,88556,100876,76236,95316
2020-03-05,128031,64311,96171,109550,82792,98172
2020-03-06,137304,71628,104466,118999,89933,102133
2020-03-07,147248,79756,113502,129292,97712,105824
2020-03-08,157912,88780,123346,140506,106186,109695
2020-03-09,169349,98792,134070,152722,115418,114232
2020-03-10,181614,109892,145753,166030,125476,118610
2020-03-11,194768,122189,158478,180525,136431,125497
2020-03-12,208874,135800,172337,196312,148362,133852
2020-03-13,224002,150852,187427,213502,161352,143227
2020-03-14,240225,167479,203852,232212,175492,154774
2020-03-15,257623,185825,221724,252570,190878,167418
2020-03-16,276282,206041,241162,274712,207612,180096
2020-03-17,296291,228286,262288,298777,225799,194836
2020-03-18,317750,252726,285238,324920,245556,213150
2020-03-19,340763,279531,310147,353295,266999,242364
2020-03-20,365443,308875,337159,384064,290254,271106
2020-03-21,391910,340931,366420,417396,315444,305188
2020-03-22,420295,375873,398084,453465,342703,338133
2020-03-23,450734,413866,432300,492441,372159,377918
2020-03-24,483379,455066,469222,534500,403944,416845
2020-03-25,518388,499616,509002,579814,438190,468049
2020-03-26,555932,547637,551784,628548,475020,527767
2020-03-27,596195,599225,597710,680863,514557,591690
2020-03-28,639375,654445,646910,736908,556912,656868
2020-03-29,685682,713324,699503,796818,602188,715358
2020-03-30,735342,775846,755594,860712,650476,777133
2020-03-31,788600,841944,815272,928692,701852,851341
2020-04-01,845714,911501,878608,1000840,756376,928490
2020-04-02,906965,984341,945653,1077212,814094,1005937
2020-04-03,972652,1060229,1016440,1157847,875033,1087651
2020-04-04,1043096,1138875,1090986,1242764,939208,1174364
2020-04-05,1118643,1219929,1169286,1331957,1006615,1245596
2020-04-06,1199661,1302992,1251326,1425410,1077242,1316986
2020-04-07,1286546,1387619,1337082,1523097,1151067,1391888
2020-04-08,1379724,1473329,1426526,1624984,1228068,1476818
2020-04-09,1479651,1559616,1519634,1731045,1308223,1563857
2020-04-10,1586815,1645960,1616388,1841260,1391516,1653206
2020-04-11,1701740,1731840,1716790,1955630,1477950,1734913
2020-04-12,1824989,1816744,1820866,2074185,1567547,1807303
2020-04-13,1957164,1900186,1928675,2196992,1660358,1873265
2020-04-14,2098912,1981713,2040312,2324160,1756464,1948511
2020-04-15,2250926,2060913,2155920,2455851,1855989,2077839
2020-04-16,2413949,2137428,2275688,2592281,1959095,NA
2020-04-17,2588780,2210953,2399866,2733735,2065997,NA
2020-04-18,2776272,2281240,2528756,2880556,2176956,NA
2020-04-19,2977344,2348102,2662723,3033161,2292285,NA
2020-04-20,3192978,2411409,2802194,3192035,2412353,NA
2020-04-21,3424230,2471082,2947656,3357733,2537579,NA
2020-04-22,3672231,2527097,3099664,3530889,2668439,NA
