"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,121840,46930,84385,96200,72570,90865
2020-03-03,129970,52285,91128,103887,78369,93077
2020-03-04,138642,58239,98440,112223,84657,95316
2020-03-05,147894,64857,106376,121270,91482,98172
2020-03-06,157762,72210,114986,131085,98887,102133
2020-03-07,168289,80374,124332,141740,106924,105824
2020-03-08,179519,89434,134476,153304,115648,109695
2020-03-09,191498,99483,145490,165860,125120,114232
2020-03-10,204276,110620,157448,179492,135404,118610
2020-03-11,217907,122953,170430,194292,146568,125497
2020-03-12,232447,136599,184523,210358,158688,133853
2020-03-13,247958,151683,199820,227797,171843,143255
2020-03-14,264504,168340,216422,246723,186121,154774
2020-03-15,282153,186711,234432,267255,201609,167418
2020-03-16,300981,206947,253964,289521,218407,180094
2020-03-17,321065,229207,275136,313658,236614,194836
2020-03-18,342489,253654,298072,339805,256339,213149
2020-03-19,365342,280456,322899,368108,277690,242372
2020-03-20,389721,309787,349754,398723,300785,271114
2020-03-21,415726,341819,378772,431804,325740,305233
2020-03-22,443466,376721,410094,467511,352677,338232
2020-03-23,473058,414659,443858,506002,381714,377959
2020-03-24,504624,455786,480205,547438,412972,416878
2020-03-25,538296,500244,519270,591973,446567,468087
2020-03-26,574216,548153,561184,639755,482613,527829
2020-03-27,612532,599606,606069,690924,521214,591794
2020-03-28,653405,654669,654037,745608,562466,656913
2020-03-29,697005,713368,705186,803919,606453,715415
2020-03-30,743514,775687,759600,865951,653249,777206
2020-03-31,793128,841560,817344,931780,702908,851473
2020-04-01,846051,910871,878461,1001454,755468,928490
2020-04-02,902506,983446,942976,1075002,810950,1006076
2020-04-03,962729,1059055,1010892,1152426,869358,1087836
2020-04-04,1026969,1137409,1082189,1233706,930672,1174315
2020-04-05,1095497,1218164,1156830,1318797,994863,1245596
2020-04-06,1168597,1300926,1234762,1407640,1061884,1316986
2020-04-07,1246575,1385254,1315914,1500154,1131674,1391888
2020-04-08,1329756,1470674,1400215,1596258,1204172,1476818
2020-04-09,1418487,1556685,1487586,1695862,1279310,1563857
2020-04-10,1513140,1642772,1577956,1798885,1357027,1653206
2020-04-11,1614109,1728417,1671263,1905256,1437270,1734913
2020-04-12,1721814,1813116,1767465,2014927,1520003,1807303
2020-04-13,1836707,1896384,1866546,2127880,1605212,1873265
2020-04-14,1959267,1977769,1968518,2244129,1692907,1948511
2020-04-15,2090004,2056865,2073434,2363734,1783134,2029930
2020-04-16,2229466,2133310,2181388,2486803,1875973,2114269
2020-04-17,2378233,2206800,2292516,2613490,1971542,2197593
2020-04-18,2536927,2277087,2407007,2744011,2070003,2321400
2020-04-19,2706211,2343982,2525096,2878633,2171559,NA
2020-04-20,2886790,2407350,2647070,3017685,2276455,NA
2020-04-21,3079419,2467113,2773266,3161549,2384983,NA
2020-04-22,3284902,2523240,2904071,3310668,2497474,NA
2020-04-23,3504096,2575746,3039921,3465539,2614303,NA
2020-04-24,3737917,2624684,3181300,3626712,2735888,NA
2020-04-25,3987340,2670141,3328740,3794795,2862685,NA
