"data","boletim","Municipio_deResidencia","Casoconfirmado","CasoDescartado","Casosuspeito","Total"
"29/03/2020","31","Afonso Cláudio","0","1","0","1"
"29/03/2020","31","Água Doce do Norte","0","1","2","3"
"29/03/2020","31","Alegre","0","2","1","3"
"29/03/2020","31","Alfredo Chaves","0","4","2","6"
"29/03/2020","31","Anchieta","0","1","5","6"
"29/03/2020","31","Apiacá","0","0","18","18"
"29/03/2020","31","Aracruz","0","7","5","12"
"29/03/2020","31","Atílio Vivácqua","0","2","1","3"
"29/03/2020","31","Barra de São Francisco","0","2","3","5"
"29/03/2020","31","Boa Esperança","0","1","0","1"
"29/03/2020","31","Bom Jesus do Norte","0","0","10","10"
"29/03/2020","31","Cachoeiro de Itapemirim","1","17","20","38"
"29/03/2020","31","Cariacica","2","50","89","141"
"29/03/2020","31","Castelo","1","4","5","10"
"29/03/2020","31","Colatina","0","10","14","24"
"29/03/2020","31","Divino de São Lourenço","0","1","0","1"
"29/03/2020","31","Domingos Martins","0","5","6","11"
"29/03/2020","31","Dores do Rio Preto","0","0","1","1"
"29/03/2020","31","Ecoporanga","0","0","1","1"
"29/03/2020","31","Fundão","0","0","13","13"
"29/03/2020","31","Guaçuí","0","4","1","5"
"29/03/2020","31","Guarapari","1","14","8","23"
"29/03/2020","31","Ibiraçu","0","0","1","1"
"29/03/2020","31","Iconha","0","1","5","6"
"29/03/2020","31","Itaguaçu","0","1","0","1"
"29/03/2020","31","Itapemirim","1","2","1","4"
"29/03/2020","31","Itarana","0","1","1","2"
"29/03/2020","31","Jaguaré","0","2","1","3"
"29/03/2020","31","Jerônimo Monteiro","0","1","1","2"
"29/03/2020","31","João Neiva","0","0","3","3"
"29/03/2020","31","Laranja da Terra","0","1","0","1"
"29/03/2020","31","Linhares","4","51","91","146"
"29/03/2020","31","Mantenópolis","0","0","1","1"
"29/03/2020","31","Marataízes","0","3","2","5"
"29/03/2020","31","Marechal Floriano","0","0","3","3"
"29/03/2020","31","Marilândia","0","0","5","5"
"29/03/2020","31","Mimoso do Sul","0","1","5","6"
"29/03/2020","31","Montanha","0","0","2","2"
"29/03/2020","31","Muniz Freire","0","2","0","2"
"29/03/2020","31","Muqui","0","0","1","1"
"29/03/2020","31","Nova Venécia","0","4","3","7"
"29/03/2020","31","Pancas","0","0","2","2"
"29/03/2020","31","Pedro Canário","0","1","2","3"
"29/03/2020","31","Pinheiros","0","2","7","9"
"29/03/2020","31","Piúma","0","3","11","14"
"29/03/2020","31","Ponto Belo","0","1","0","1"
"29/03/2020","31","Rio Bananal","0","2","2","4"
"29/03/2020","31","Rio Novo do Sul","0","1","1","2"
"29/03/2020","31","Santa Maria de Jetibá","0","5","1","6"
"29/03/2020","31","Santa Teresa","1","1","0","2"
"29/03/2020","31","São Gabriel da Palha","0","1","0","1"
"29/03/2020","31","São Mateus","1","8","5","14"
"29/03/2020","31","São Roque do Canaã","1","0","1","2"
"29/03/2020","31","Serra","9","63","266","338"
"29/03/2020","31","Vargem Alta","0","1","1","2"
"29/03/2020","31","Venda Nova do Imigrante","0","3","1","4"
"29/03/2020","31","Viana","0","7","38","45"
"29/03/2020","31","Vila Pavão","0","1","0","1"
"29/03/2020","31","Vila Velha","28","163","225","416"
"29/03/2020","31","Vitória","21","133","117","271"
"29/03/2020","31","São José do Calçado","0","0","1","1"
"29/03/2020","31","Governador Lindenberg","0","0","1","1"
"29/03/2020","31","Caso do Rio de Janeiro identificado em Vitória*","1","-","-","-"
"29/03/2020","31","Total","71 + 1*","592","1.013","1.677"
