
 Italy 
Projecao:  7  dias
<<<<<<< HEAD
Gerado em:  2020-06-01 14:03:30
RMSE(%):  6 , BIAS(%): 1.32

Taxa de Mortalidade 14.35 %

    country       dias otimista casos_estimados pessimista estimativa_mortes casos_confirmados mortes_confirmadas latitude longitude
143   Italy 2020-05-20   210793          224150     237507             32176            227364              32486 41.87194  12.56738
144   Italy 2020-05-21   211018          224389     237760             32211            228006              32616 41.87194  12.56738
145   Italy 2020-05-22   211223          224607     237991             32242            228658              32735 41.87194  12.56738
146   Italy 2020-05-23   211409          224805     238201             32270            229327              32785 41.87194  12.56738
147   Italy 2020-05-24   211579          224986     238393             32296            229858              32877 41.87194  12.56738
148   Italy 2020-05-25   211735          225151     238567             32320            230158              32955 41.87194  12.56738
149   Italy 2020-05-26   211876          225301     238726             32342            230555              33072 41.87194  12.56738
150   Italy 2020-05-27   212004          225438     238872             32361            231139              33142 41.87194  12.56738
151   Italy 2020-05-28   212122          225563     239004             32379            231732              33229 41.87194  12.56738
152   Italy 2020-05-29   212229          225677     239125             32396            232248              33340 41.87194  12.56738
153   Italy 2020-05-30   212326          225780     239234             32410            232664              33415 41.87194  12.56738
154   Italy 2020-05-31   212414          225874     239334             32424            233019              33475 41.87194  12.56738
155   Italy 2020-06-01   212495          225960     239425             32436            233197              33475 41.87194  12.56738
156   Italy 2020-06-02   212569          226038     239507             32447                NA                 NA 41.87194  12.56738
157   Italy 2020-06-03   212635          226109     239583             32458                NA                 NA 41.87194  12.56738
158   Italy 2020-06-04   212697          226174     239651             32467                NA                 NA 41.87194  12.56738
159   Italy 2020-06-05   212752          226233     239714             32475                NA                 NA 41.87194  12.56738
160   Italy 2020-06-06   212802          226286     239770             32483                NA                 NA 41.87194  12.56738
161   Italy 2020-06-07   212848          226335     239822             32490                NA                 NA 41.87194  12.56738
162   Italy 2020-06-08   212889          226379     239869             32496                NA                 NA 41.87194  12.56738

Total de casos no mundo:  6315908 2077103 883948 2031971 1161483 151868 8814 721 6315908
=======
Gerado em:  2020-06-01 11:52:58
RMSE(%):  6 , BIAS(%): 1.32

Taxa de Mortalidade 14.34 %

    country       dias otimista casos_estimados pessimista estimativa_mortes casos_confirmados mortes_confirmadas latitude longitude
143   Italy 2020-05-20   210790          224142     237494             32145            227364              32486 41.87194  12.56738
144   Italy 2020-05-21   211015          224381     237747             32179            228006              32616 41.87194  12.56738
145   Italy 2020-05-22   211220          224599     237978             32211            228658              32735 41.87194  12.56738
146   Italy 2020-05-23   211406          224797     238188             32239            229327              32785 41.87194  12.56738
147   Italy 2020-05-24   211576          224978     238380             32265            229858              32877 41.87194  12.56738
148   Italy 2020-05-25   211732          225143     238554             32289            230158              32955 41.87194  12.56738
149   Italy 2020-05-26   211873          225293     238713             32310            230555              33072 41.87194  12.56738
150   Italy 2020-05-27   212001          225430     238859             32330            231139              33142 41.87194  12.56738
151   Italy 2020-05-28   212119          225555     238991             32348            231732              33229 41.87194  12.56738
152   Italy 2020-05-29   212225          225668     239111             32364            232248              33340 41.87194  12.56738
153   Italy 2020-05-30   212322          225771     239220             32379            232664              33415 41.87194  12.56738
154   Italy 2020-05-31   212412          225866     239320             32392            233019              33415 41.87194  12.56738
155   Italy 2020-06-01   212491          225951     239411             32405            232997              33415 41.87194  12.56738
156   Italy 2020-06-02   212565          226029     239493             32416                NA                 NA 41.87194  12.56738
157   Italy 2020-06-03   212632          226100     239568             32426                NA                 NA 41.87194  12.56738
158   Italy 2020-06-04   212693          226165     239637             32435                NA                 NA 41.87194  12.56738
159   Italy 2020-06-05   212748          226224     239700             32444                NA                 NA 41.87194  12.56738
160   Italy 2020-06-06   212798          226277     239756             32451                NA                 NA 41.87194  12.56738
161   Italy 2020-06-07   212844          226326     239808             32458                NA                 NA 41.87194  12.56738
162   Italy 2020-06-08   212885          226370     239855             32465                NA                 NA 41.87194  12.56738

Total de casos no mundo:  6300892 2072893 878477 2031464 1156973 151550 8814 721 6300892
>>>>>>> aaaf849b6b0fc6629d1a8ba89a74a1f8c6667104

Estimados a partir dos dados da OMS:
    day       date      x   xest
1     1 2019-12-30      0     28
2     2 2019-12-31      0     31
3     3 2020-01-01      0     34
4     4 2020-01-02      0     37
5     5 2020-01-03      0     41
6     6 2020-01-04      0     45
7     7 2020-01-05      0     49
8     8 2020-01-06      0     54
9     9 2020-01-07      0     60
10   10 2020-01-08      0     66
11   11 2020-01-09      0     72
12   12 2020-01-10      0     79
13   13 2020-01-11      0     87
14   14 2020-01-12      0     96
15   15 2020-01-13      0    105
16   16 2020-01-14      0    116
17   17 2020-01-15      0    127
18   18 2020-01-16      0    140
19   19 2020-01-17      0    154
20   20 2020-01-18      0    169
21   21 2020-01-19      0    186
22   22 2020-01-20      0    204
23   23 2020-01-21      0    224
24   24 2020-01-22      0    246
25   25 2020-01-23      0    271
26   26 2020-01-24      0    298
27   27 2020-01-25      0    327
<<<<<<< HEAD
28   28 2020-01-26      0    360
=======
28   28 2020-01-26      0    359
>>>>>>> aaaf849b6b0fc6629d1a8ba89a74a1f8c6667104
29   29 2020-01-27      0    395
30   30 2020-01-28      0    434
31   31 2020-01-29      0    477
32   32 2020-01-30      3    524
33   33 2020-01-31      3    576
34   34 2020-02-01      3    633
35   35 2020-02-02      3    696
<<<<<<< HEAD
36   36 2020-02-03      3    765
=======
36   36 2020-02-03      3    764
>>>>>>> aaaf849b6b0fc6629d1a8ba89a74a1f8c6667104
37   37 2020-02-04      3    840
38   38 2020-02-05      3    923
39   39 2020-02-06      3   1014
40   40 2020-02-07      3   1114
41   41 2020-02-08      3   1224
<<<<<<< HEAD
42   42 2020-02-09      3   1345
43   43 2020-02-10      3   1477
44   44 2020-02-11      3   1623
45   45 2020-02-12      3   1782
46   46 2020-02-13      3   1958
47   47 2020-02-14      3   2150
48   48 2020-02-15      3   2361
49   49 2020-02-16      3   2592
50   50 2020-02-17      3   2846
51   51 2020-02-18      3   3125
52   52 2020-02-19      3   3430
53   53 2020-02-20      3   3764
54   54 2020-02-21     17   4131
55   55 2020-02-22     79   4532
56   56 2020-02-23    132   4971
57   57 2020-02-24    229   5453
58   58 2020-02-25    322   5979
59   59 2020-02-26    400   6555
60   60 2020-02-27    650   7184
61   61 2020-02-28    888   7872
62   62 2020-02-29   1128   8623
63   63 2020-03-01   1689   9442
64   64 2020-03-02   2036  10336
65   65 2020-03-03   2502  11309
66   66 2020-03-04   3089  12370
67   67 2020-03-05   3858  13523
68   68 2020-03-06   4636  14777
69   69 2020-03-07   5883  16138
70   70 2020-03-08   7375  17614
71   71 2020-03-09   9172  19212
72   72 2020-03-10  10149  20941
73   73 2020-03-11  12462  22809
74   74 2020-03-12  15113  24823
75   75 2020-03-13  17660  26992
76   76 2020-03-14  21157  29322
77   77 2020-03-15  23980  31822
78   78 2020-03-16  27980  34497
79   79 2020-03-17  31506  37355
80   80 2020-03-18  35713  40399
81   81 2020-03-19  41035  43634
82   82 2020-03-20  47021  47063
83   83 2020-03-21  53578  50687
84   84 2020-03-22  59138  54505
85   85 2020-03-23  63927  58516
86   86 2020-03-24  69176  62714
87   87 2020-03-25  74386  67093
88   88 2020-03-26  80539  71645
89   89 2020-03-27  86498  76357
90   90 2020-03-28  92472  81218
91   91 2020-03-29  97689  86210
92   92 2020-03-30 101739  91317
93   93 2020-03-31 105792  96519
94   94 2020-04-01 110574 101795
95   95 2020-04-02 115242 107122
96   96 2020-04-03 119827 112477
97   97 2020-04-04 124632 117836
98   98 2020-04-05 128948 123175
99   99 2020-04-06 132547 128471
100 100 2020-04-07 135586 133701
101 101 2020-04-08 139422 138844
102 102 2020-04-09 143626 143878
103 103 2020-04-10 147577 148787
104 104 2020-04-11 152271 153553
105 105 2020-04-12 156363 158162
106 106 2020-04-13 159516 162603
107 107 2020-04-14 162488 166865
108 108 2020-04-15 165155 170942
109 109 2020-04-16 168941 174828
110 110 2020-04-17 172434 178520
111 111 2020-04-18 175925 182017
112 112 2020-04-19 178972 185320
113 113 2020-04-20 181228 188430
114 114 2020-04-21 183957 191352
115 115 2020-04-22 187327 194091
116 116 2020-04-23 189973 196651
117 117 2020-04-24 192994 199040
118 118 2020-04-25 195351 201264
