"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,578443,252573,415508,478796,352220,90943
2020-03-03,593799,264856,429328,494721,363935,93193
2020-03-04,609561,277716,443638,511211,376065,95464
2020-03-05,625742,291181,458462,528293,388631,98442
2020-03-06,642353,305275,473814,545983,401645,102524
2020-03-07,659405,320025,489715,564306,415124,106488
2020-03-08,676909,335461,506185,583285,429085,110633
2020-03-09,694878,351611,523244,602942,443546,115331
2020-03-10,713324,368506,540915,623305,458525,120250
2020-03-11,732259,386175,559217,644394,474040,127785
2020-03-12,751698,404651,578174,666239,490109,136806
2020-03-13,771652,423968,597810,688866,506754,146675
2020-03-14,792136,444159,618148,712302,523994,158808
2020-03-15,813163,465258,639210,736572,541848,171165
2020-03-16,834749,487303,661026,761710,560342,184905
2020-03-17,856908,510329,683618,787744,579492,201363
2020-03-18,879655,534374,707014,814703,599325,221172
2020-03-19,903006,559477,731242,842621,619863,251542
2020-03-20,926977,585676,756326,871526,641126,282895
2020-03-21,951584,613013,782298,901454,663142,316942
2020-03-22,976844,641527,809186,932438,685934,350942
2020-03-23,1002775,671261,837018,964509,709527,393837
2020-03-24,1029394,702256,865825,997704,733946,434723
2020-03-25,1056720,734555,895638,1032058,759218,486947
2020-03-26,1084771,768201,926486,1067604,785368,547297
2020-03-27,1113567,803237,958402,1104381,812423,611632
2020-03-28,1143128,839706,991417,1142425,840409,674897
2020-03-29,1173472,877652,1025562,1181771,869353,732707
2020-03-30,1204623,917118,1060870,1222457,899283,796268
2020-03-31,1236600,958148,1097374,1264521,930227,868867
2020-04-01,1269426,1000785,1135106,1308000,962212,945624
2020-04-02,1303124,1045070,1174097,1352930,995264,1022366
2020-04-03,1337716,1091044,1214380,1399349,1029411,1103314
2020-04-04,1373227,1138749,1255988,1447294,1064682,1188306
2020-04-05,1409680,1188224,1298952,1496802,1101102,1257241
2020-04-06,1447100,1239506,1343303,1547909,1138697,1329576
2020-04-07,1485514,1292632,1389073,1600650,1177496,1404566
2020-04-08,1524948,1347635,1436292,1655061,1217523,1489045
2020-04-09,1565429,1404549,1484989,1711176,1258802,1574850
2020-04-10,1606984,1463402,1535193,1769027,1301359,1664170
2020-04-11,1649642,1524222,1586932,1828646,1345218,1744940
2020-04-12,1693433,1587031,1640232,1890065,1390399,1816194
2020-04-13,1738386,1651852,1695119,1953312,1436926,1882211
2020-04-14,1784532,1718700,1751616,2018414,1484818,1958813
2020-04-15,1831904,1787589,1809746,2085398,1534094,2038561
2020-04-16,1880533,1858528,1869530,2154288,1584772,2121523
2020-04-17,1930452,1931520,1930986,2225105,1636867,2203417
2020-04-18,1981697,2006564,1994130,2297867,1690393,2283158
2020-04-19,2034302,2083657,2058980,2372595,1745365,2355301
2020-04-20,2088304,2162785,2125544,2449297,1801791,2431261
2020-04-21,2143739,2243934,2193836,2527991,1859681,2516991
2020-04-22,2200646,2327080,2263863,2608684,1919042,2583279
2020-04-23,2259063,2412195,2335629,2691381,1979877,2660713
2020-04-24,2319031,2499244,2409138,2776087,2042189,2734478
2020-04-25,2380591,2588187,2484389,2862800,2105978,2835026
2020-04-26,2443785,2678976,2561380,2951518,2171242,2918082
2020-04-27,2508657,2771558,2640108,3042237,2237979,2983864
2020-04-28,2575251,2865872,2720562,3134946,2306178,3055429
2020-04-29,2643612,2961851,2802732,3229631,2375833,3133235
2020-04-30,2713788,3059422,2886605,3326280,2446930,3217821
2020-05-01,2785827,3158506,2972166,3424873,2519459,3309563
2020-05-02,2859778,3259017,3059398,3525392,2593404,3390732
2020-05-03,2935693,3360863,3148278,3627809,2668747,3469241
2020-05-04,3013622,3463947,3238784,3732101,2745467,3546407
2020-05-05,3093621,3568167,3330894,3838241,2823547,3625591
2020-05-06,3175742,3673414,3424578,3946194,2902962,3715415
2020-05-07,3260044,3779576,3519810,4055932,2983688,3809600
2020-05-08,3346584,3886537,3616560,4167418,3065702,3899742
2020-05-09,3435421,3994177,3714799,4280620,3148978,3989897
2020-05-10,3526616,4102372,3814494,4395500,3233488,4066886
2020-05-11,3620232,4210997,3915614,4512023,3319205,4137916
2020-05-12,3716333,4319922,4018128,4630151,3406105,4223703
2020-05-13,3814985,4429020,4122002,4749847,3494157,4309653
2020-05-14,3916256,4538160,4227208,4871077,3583339,4406318
2020-05-15,4020215,4647211,4333713,4993805,3673621,4504351
2020-05-16,4126934,4756044,4441489,5117996,3764982,4598547
2020-05-17,4236485,4864529,4550507,5243620,3857394,4679764
2020-05-18,4348945,4972539,4660742,5370645,3950839,4766900
2020-05-19,4464390,5079949,4772170,5499045,4045295,4861975
2020-05-20,4582900,5186637,4884768,5628794,4140742,4961338
2020-05-21,4704555,5292484,4998520,5759872,4237168,5069262
2020-05-22,4829440,5397375,5113408,5892259,4334557,5175836
2020-05-23,4957640,5501199,5229420,6025942,4432898,5276942
2020-05-24,5089244,5603850,5346547,6160909,4532185,5371158
2020-05-25,5224340,5705228,5464784,6297155,4632413,5460254
2020-05-26,5363023,5805237,5584130,6434679,4733581,5556124
2020-05-27,5505388,5903787,5704588,6573485,4835691,5658707
2020-05-28,5651531,6000796,5826164,6713579,4938749,5777512
2020-05-29,5801554,6096185,5948870,6854975,5042765,5900530
2020-05-30,5955560,6189884,6072722,6997692,5147752,6028326
2020-05-31,6113653,6281829,6197741,7141753,5253729,6136294
2020-06-01,6275943,6371961,6323952,7287188,5360716,6236775
2020-06-02,6442542,6460230,6451386,7434032,5468740,6349294
2020-06-03,6613562,6546589,6580076,7582323,5577829,6475978
2020-06-04,6789123,6631001,6710062,7732108,5688016,6603640
2020-06-05,6969344,6713432,6841388,7883437,5799339,6737150
2020-06-06,7154349,6793858,6974104,8036368,5911840,6863012
2020-06-07,7344265,6872257,7108261,8190959,6025563,6979330
2020-06-08,7539222,6948616,7243919,8347280,6140558,7085181
2020-06-09,7739355,7022924,7381140,8505402,6256878,7210776
2020-06-10,7944801,7095179,7519990,8665401,6374579,7344236
2020-06-11,8155700,7165380,7660540,8827359,6493721,7481813
2020-06-12,8372197,7233536,7802866,8991363,6614369,7625883
2020-06-13,8594441,7299654,7947048,9157506,6736590,7773102
2020-06-14,8822586,7363751,8093168,9325883,6860453,NA
2020-06-15,9056786,7425844,8241315,9496595,6986035,NA
2020-06-16,9297203,7485954,8391578,9669745,7113411,NA
2020-06-17,9544002,7544108,8544055,9845447,7242663,NA
2020-06-18,9797353,7600332,8698842,10023810,7373874,NA
2020-06-19,10057429,7654658,8856044,10204957,7507131,NA
2020-06-20,10324409,7707118,9015764,10389004,7642524,NA
