"dia_ano","dias","otimista","casos_estimados","pessimista","x"
95,2020-04-04,49,62,75,64
96,2020-04-05,57,72,87,71
97,2020-04-06,67,84,101,89
98,2020-04-07,79,99,119,106
99,2020-04-08,91,115,139,122
100,2020-04-09,107,135,163,147
101,2020-04-10,126,158,190,155
102,2020-04-11,147,185,223,170
103,2020-04-12,172,216,260,NA
104,2020-04-13,201,253,305,NA
105,2020-04-14,235,295,355,NA
106,2020-04-15,275,346,417,NA
107,2020-04-16,321,404,487,NA
108,2020-04-17,376,473,570,NA
109,2020-04-18,440,553,666,NA
