"dia_ano","dias","otimista","casos_estimados","pessimista","x"
198,2020-07-16,171,189,207,191
199,2020-07-17,180,199,218,203
200,2020-07-18,190,210,230,216
201,2020-07-19,199,220,241,222
202,2020-07-20,210,232,254,228
203,2020-07-21,221,244,267,248
204,2020-07-22,232,256,280,257
205,2020-07-23,244,270,296,266
206,2020-07-24,257,284,311,281
207,2020-07-25,270,298,326,292
208,2020-07-26,284,314,344,305
209,2020-07-27,299,330,361,NA
210,2020-07-28,314,347,380,NA
211,2020-07-29,330,365,400,NA
212,2020-07-30,347,384,421,NA
213,2020-07-31,366,404,442,NA
214,2020-08-01,385,425,465,NA
215,2020-08-02,405,447,489,NA
216,2020-08-03,425,470,515,NA
217,2020-08-04,447,494,541,NA
218,2020-08-05,471,520,569,NA
