location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-05-26;total_cases;10;2020-05-19;2482;2020-05-26;4781;1.93
AL;2020-05-26;total_cases;12;2020-05-17;3816;2020-05-26;7058;1.85
AM;2020-05-26;total_cases;15;2020-05-14;17181;2020-05-26;31949;1.86
AP;2020-05-26;total_cases;13;2020-05-16;3834;2020-05-26;6967;1.82
BA;2020-05-26;total_cases;14;2020-05-14;6955;2020-05-26;14566;2.09
CE;2020-05-26;total_cases;16;2020-05-13;19156;2020-05-26;37021;1.93
DF;2020-05-26;total_cases;14;2020-05-15;3787;2020-05-26;7210;1.9
ES;2020-05-26;total_cases;15;2020-05-14;5813;2020-05-26;10889;1.87
GO;2020-05-26;total_cases;15;2020-05-14;1423;2020-05-26;2671;1.88
MA;2020-05-26;total_cases;11;2020-05-18;13238;2020-05-26;24278;1.83
MG;2020-05-26;total_cases;15;2020-05-14;3950;2020-05-26;7516;1.9
MT;2020-05-26;total_cases;12;2020-05-17;901;2020-05-26;1628;1.81
PA;2020-05-26;total_cases;11;2020-05-18;14734;2020-05-26;28600;1.94
PB;2020-05-26;total_cases;11;2020-05-18;4786;2020-05-26;8919;1.86
PE;2020-05-26;total_cases;15;2020-05-14;15588;2020-05-26;28854;1.85
PI;2020-05-26;total_cases;14;2020-05-15;1905;2020-05-26;3720;1.95
PR;2020-05-26;total_cases;17;2020-05-12;1906;2020-05-26;3512;1.84
RJ;2020-05-26;total_cases;13;2020-05-16;21601;2020-05-26;40024;1.85
RN;2020-05-26;total_cases;13;2020-05-16;3004;2020-05-26;5472;1.82
RO;2020-05-26;total_cases;13;2020-05-16;1919;2020-05-26;3493;1.82
RR;2020-05-26;total_cases;16;2020-05-13;1411;2020-05-26;2583;1.83
RS;2020-05-26;total_cases;10;2020-05-19;3750;2020-05-26;6785;1.81
SC;2020-05-26;total_cases;16;2020-05-13;3828;2020-05-26;7016;1.83
SE;2020-05-26;total_cases;13;2020-05-16;3135;2020-05-26;5735;1.83
SP;2020-05-26;total_cases;17;2020-05-12;47719;2020-05-26;86017;1.8
TO;2020-05-26;total_cases;11;2020-05-18;1496;2020-05-26;2858;1.91
