"dia_ano","dias","otimista","casos_estimados","pessimista","x"
131,2020-05-10,107,111,115,109
132,2020-05-11,109,113,117,111
133,2020-05-12,110,114,118,113
134,2020-05-13,112,116,120,117
135,2020-05-14,112,117,122,119
136,2020-05-15,114,119,124,120
137,2020-05-16,115,120,125,123
138,2020-05-17,116,121,126,124
139,2020-05-18,117,122,127,NA
140,2020-05-19,118,123,128,NA
141,2020-05-20,119,124,129,NA
142,2020-05-21,120,125,130,NA
143,2020-05-22,120,125,130,NA
144,2020-05-23,121,126,131,NA
145,2020-05-24,122,127,132,NA
