"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,386260,133849,260054,301544,218564,90943
2020-03-03,399530,143215,271372,314668,228076,93193
2020-03-04,413255,153219,283237,328426,238048,95464
2020-03-05,427451,163900,295676,342849,248503,98442
2020-03-06,442135,175301,308718,357972,259464,102524
2020-03-07,457324,187469,322396,373832,270960,106488
2020-03-08,473035,200449,336742,390467,283017,110633
2020-03-09,489285,214293,351789,407915,295663,115331
2020-03-10,506093,229052,367572,426216,308928,120250
2020-03-11,523479,244781,384130,445416,322844,127785
2020-03-12,541462,261537,401500,465557,337443,136806
2020-03-13,560063,279380,419722,486686,352758,146675
2020-03-14,579303,298373,438838,508852,368824,158808
2020-03-15,599203,318579,458891,532104,385678,171165
2020-03-16,619788,340065,479926,556495,403357,184905
2020-03-17,641079,362900,501990,582080,421900,201363
2020-03-18,663102,387155,525128,608909,441347,221172
2020-03-19,685882,412903,549392,637044,461740,251542
2020-03-20,709444,440219,574832,666543,483121,282895
2020-03-21,733816,469177,601496,697461,505531,316942
2020-03-22,759024,499855,629440,729863,529017,350942
2020-03-23,785099,532330,658714,763808,553620,393837
2020-03-24,812070,566679,689374,799360,579388,434723
2020-03-25,839967,602980,721474,836581,606367,486947
2020-03-26,868822,641308,755065,875531,634599,547297
2020-03-27,898669,681740,790204,916276,664132,611632
2020-03-28,929540,724346,826943,958877,695009,674897
2020-03-29,961473,769197,865335,1003394,727276,732707
2020-03-30,994502,816358,905430,1049886,760974,796268
2020-03-31,1028667,865890,947278,1098411,796145,868867
2020-04-01,1064004,917848,990926,1149022,832830,945624
2020-04-02,1100556,972280,1036418,1201772,871064,1022366
2020-04-03,1138363,1029228,1083796,1256709,910883,1103314
2020-04-04,1177470,1088723,1133096,1313875,952317,1188306
2020-04-05,1217919,1150787,1184353,1373310,995396,1257241
2020-04-06,1259758,1215432,1237595,1435046,1040144,1329576
2020-04-07,1303035,1282656,1292846,1499112,1086580,1404566
2020-04-08,1347798,1352446,1350122,1565526,1134718,1489045
2020-04-09,1394099,1424773,1409436,1634303,1184569,1574850
2020-04-10,1441990,1499597,1470794,1705451,1236137,1664170
2020-04-11,1491527,1576858,1534192,1778963,1289421,1744940
2020-04-12,1542765,1656483,1599624,1854835,1344413,1816194
2020-04-13,1595764,1738383,1667074,1933046,1401102,1882211
2020-04-14,1650583,1822451,1736517,2013568,1459466,1958813
2020-04-15,1707286,1908563,1807924,2096368,1519480,2038561
2020-04-16,1765936,1996582,1881259,2181403,1581115,2121523
2020-04-17,1826601,2086352,1956476,2268620,1644332,2203417
2020-04-18,1889351,2177706,2033528,2357965,1709091,2283158
2020-04-19,1954255,2270458,2112356,2449370,1775342,2355301
2020-04-20,2021390,2364415,2192902,2542767,1843037,2431261
2020-04-21,2090831,2459370,2275100,2638079,1912121,2516991
2020-04-22,2162657,2555107,2358882,2735228,1982536,2583279
2020-04-23,2236951,2651404,2444178,2834132,2054224,2660713
2020-04-24,2313797,2748031,2530914,2934707,2127121,2734478
2020-04-25,2393283,2844757,2619020,3036869,2201171,2835026
2020-04-26,2475499,2941351,2708425,3140538,2276312,2918082
2020-04-27,2560540,3037581,2799060,3245634,2352486,2983864
2020-04-28,2648502,3133219,2890860,3352080,2429640,3055429
2020-04-29,2739486,3228043,2983764,3459806,2507722,3133235
2020-04-30,2833595,3321839,3077717,3568749,2586685,3217821
2020-05-01,2930938,3414402,3172670,3678851,2666489,3309563
2020-05-02,3031624,3505538,3268581,3790064,2747098,3390732
2020-05-03,3135770,3595067,3365418,3902351,2828485,3469241
2020-05-04,3243493,3682820,3463156,4015682,2910630,3546401
2020-05-05,3354917,3768647,3561782,4130043,2993521,3625588
2020-05-06,3470168,3852409,3661288,4245425,3077151,3715414
2020-05-07,3589379,3933988,3761684,4361839,3161529,3809599
2020-05-08,3712685,4013278,3862982,4479298,3246666,3899738
2020-05-09,3840226,4090192,3965209,4597835,3332583,3989894
2020-05-10,3972150,4164659,4068404,4717494,3419314,4066883
2020-05-11,4108605,4236624,4172614,4838330,3506898,4137915
2020-05-12,4249748,4306046,4277897,4960410,3595384,4223701
2020-05-13,4395739,4372899,4384319,5083811,3684827,4309652
2020-05-14,4546746,4437172,4491959,5208625,3775293,4406317
2020-05-15,4702940,4498865,4600902,5334949,3866855,4504351
2020-05-16,4864500,4557992,4711246,5462898,3959594,4598546
2020-05-17,5031610,4614575,4823092,5592588,4053596,4679764
2020-05-18,5204461,4668649,4936555,5724153,4148957,4766899
2020-05-19,5383250,4720254,5051752,5857729,4245775,4861974
2020-05-20,5568181,4769441,5168811,5993465,4344157,4960975
2020-05-21,5759465,4816266,5287866,6131514,4444218,5156238
2020-05-22,5957319,4860789,5409054,6272037,4546071,NA
2020-05-23,6161971,4903078,5532524,6415206,4649842,NA
2020-05-24,6373653,4943202,5658428,6561197,4755659,NA
2020-05-25,6592607,4981234,5786920,6710189,4863651,NA
2020-05-26,6819083,5017249,5918166,6862375,4973957,NA
2020-05-27,7053339,5051324,6052332,7017946,5086718,NA
2020-05-28,7295642,5083535,6189588,7177101,5202075,NA
