"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-06-10,8106,8876,8491,9353,7629,8746
2020-06-11,8473,9121,8797,9690,7904,9091
2020-06-12,8857,9354,9106,10031,8181,9295
2020-06-13,9258,9576,9417,10373,8461,9534
2020-06-14,9677,9786,9732,10720,8744,9642
2020-06-15,10116,9985,10050,11071,9029,9771
2020-06-16,10574,10172,10373,11426,9320,10003
2020-06-17,11053,10348,10700,11787,9613,10339
2020-06-18,11553,10512,11032,12152,9912,10664
2020-06-19,12077,10666,11372,12527,10217,10987
2020-06-20,12624,10809,11716,12906,10526,11263
2020-06-21,13195,10942,12068,13294,10842,NA
2020-06-22,13793,11065,12429,13691,11167,NA
2020-06-23,14418,11180,12799,14099,11499,NA
2020-06-24,15071,11285,13178,14516,11840,NA
2020-06-25,15753,11383,13568,14946,12190,NA
2020-06-26,16467,11472,13970,15389,12551,NA
2020-06-27,17213,11555,14384,15845,12923,NA
2020-06-28,17992,11631,14812,16316,13308,NA
2020-06-29,18807,11700,15254,16803,13705,NA
2020-06-30,19659,11764,15712,17308,14116,NA
